states	AB_aSPR	AA_aSPR	BB_aSPR	NormSPR_1	NormSPR_2	AB_sumTMRCA	AA_sumTMRCA	BB_sumTMRCA	Norm_sumTMRCA_1	Norm_sumTMRCA_2	AB_meanTMRCA	AA_meanTMRCA	BB_meanTMRCA	Norm_meanTMRCA_1	Norm_meanTMRCA_2	AB_stdevTMRCA	AA_stdevTMRCA	BB_stdevTMRCA	Norm_stdevTMRCA_1	Norm_stdevTMRCA_2	sharedClades_AB	sharedClades_AA	sharedClades_BB	Norm_sharedClades_1	Norm_sharedClades_2	AB_sumTT	AA_sumTT	BB_sumTT	Norm_sumTT_1	Norm_sumTT_2	AB_meanTT	AA_meanTT	BB_meanTT	Norm_meanTT_1	Norm_meanTT_2	AB_stdevTT	AA_stdevTT	BB_stdevTT	Norm_stdevTT_1	Norm_stdevTT_2	AltAB_sumTMRCA	AltAA_sumTMRCA	AltBB_sumTMRCA	Norm_sumTMRCA_1	Norm_sumTMRCA_2	AltAB_meanTMRCA	AltAA_meanTMRCA	AltBB_meanTMRCA	AltNorm_meanTMRCA_1	AltNorm_meanTMRCA_2	AltAB_stdevTMRCA	AltAA_stdevTMRCA	AltBB_stdevTMRCA	AltNorm_stdevTMRCA_1	AltNorm_stdevTMRCA_2	AB_minTMRCA	AA_minTMRCA	BB_minTMRCA	Norm_minTMRCA_1	Norm_minTMRCA_2	AB_maxTMRCA	AA_maxTMRCA	BB_maxTMRCA	Norm_maxTMRCA_1	Norm_maxTMRCA_2	timeTaken	exact indicator
10	193	151	145	0.766839378238	0.766681821092	124525.76043	23479.0892783	45809.1680651	0.278208529321	9.28983715827e+12	1.22172713959	0.230354269551	0.449435551921	0.278208529321	0.00877310158667	1.76224770146	0.212639743771	0.291263971775	0.142971874819	0.00217668438918	147	224	238	0.636363636364	0.63665601572	250124.240149	49366.8273553	93549.8771754	0.285691431677	8.52709488927e+13	2.45397877037	0.484339887323	0.917821529104	0.285691431677	0.0805278590229	3.52761094718	0.455765381735	0.606371343255	0.150546182798	0.021651068045	9284.64740543	5165.9582349	-26026.0877291	-1.123366811	1.94694706879e+12	0.0910920413382	0.0506834196858	-0.255342971657	-1.123366811	0.00183865057346	2.1423903484	0.309370233055	0.470772751345	0.182073025344	0.00990104606485	0.000813517419147	0.0018502826415	4.62340376544e-05	1.16562757878	8.99565802602e-12	10.4827824519	1.37577745701	1.71468164086	0.147406431072	0.530868309554	7.79516063636	1
11	189	140	154	0.777777777778	0.776895443089	132755.567297	42365.2027063	30766.3538108	0.275436872466	1.27972865558e+13	1.30247009886	0.415646672158	0.301849908864	0.275436872466	0.0120854534988	1.62555271632	0.220828982343	0.272715916768	0.151808333915	0.00223116688564	138	237	228	0.593548387097	0.593659592858	266607.439919	86373.7940864	62225.47196	0.278685519976	1.0834980347e+14	2.61569609245	0.847416695312	0.610496555933	0.278685519976	0.102322981183	3.25395765609	0.488833486237	0.553238952271	0.160123847426	0.0224768527321	25863.8714156	23109.2663005	-190.009499128	0.443074751514	745468691.063	0.253751461017	0.226725921752	-0.00186419067881	0.443074751514	7.04002927603e-07	2.06747676843	0.412459636722	0.406797079061	0.198129606168	0.0136168898195	0.000646557694608	0.000284757699546	0.000384124493394	0.517264119287	1.85049394323e-11	10.842181901	1.59784482931	2.03898575645	0.167716729851	0.978995956226	8.183435	1
12	190	145	150	0.776315789474	0.776204273882	132580.959792	34829.9667911	40578.6269004	0.284386965555	1.50667525845e+13	1.30075701776	0.341718175844	0.398118506567	0.284386965555	0.0142286833184	1.66953118846	0.235819233552	0.213220420604	0.134480762403	0.00151433340256	137	239	233	0.580508474576	0.580555382878	265035.604343	70432.8539829	82267.7461092	0.288075635103	1.26679269799e+14	2.60027475172	0.691019504179	0.807132096905	0.288075635103	0.119632893875	3.34979906612	0.48637464423	0.466462627474	0.142223048741	0.0153658575803	9993.56514808	-9296.64115202	26136.1639316	0.842518287023	5.90765844291e+12	0.0980472612295	-0.0912097124582	0.256422933615	0.842518287023	0.0055790523317	2.11416412396	0.405046677518	0.371764135105	0.183715825044	0.0107252254402	0.00225453438952	0.00058478181586	0.00067076903224	0.278450143394	6.82459467585e-11	10.6154052628	1.64197009707	2.07476721738	0.17506337358	1.0932831709	8.19946915385	1
13	188	143	155	0.792553191489	0.791910349033	147590.651712	46805.7325335	22132.4762244	0.233545309131	7.27108556494e+12	1.44801769629	0.459212885166	0.217142595848	0.233545309131	0.00686664052553	1.63425599685	0.282356534458	0.261201742961	0.166301448018	0.00332834042385	146	238	218	0.640350877193	0.640967678736	293947.275245	93987.5491233	47546.9513164	0.2407481075	6.79385950752e+13	2.88392829351	0.92211554582	0.466485011836	0.2407481075	0.0641595957061	3.27698197912	0.576998982674	0.520807215164	0.167502629681	0.0275568788072	34991.0467247	36010.0989938	6891.65562373	0.613039029026	1.7601060331e+12	0.343298537417	0.35329649936	0.0676143047282	0.613039029026	0.00166220233666	2.15631491815	0.40716491744	0.332874696024	0.171598222327	0.00851902867019	0.000160739677312	9.57442850904e-05	0.000900757266663	3.09973731569	4.62719900605e-11	10.7391176282	1.45855530561	2.63430455769	0.190558479988	1.37470391642	8.22566364286	1
14	186	157	147	0.817204301075	0.816762047847	165936.117304	39948.3793298	69642.7270939	0.330220774731	4.66454131697e+13	1.62800578168	0.391935122832	0.683267538155	0.330220774731	0.0440508204092	1.6675504617	0.27747705136	0.351084804223	0.188468616099	0.00569113937792	144	229	236	0.61935483871	0.619425028434	332884.931836	80377.8964579	140819.498917	0.332243027876	3.84861727235e+14	3.26594717576	0.788590707551	1.38158564956	0.332243027876	0.363454275068	3.33777083369	0.584759543344	0.724387979446	0.196111055555	0.0537576890841	61811.8085143	18593.7172768	-53072.896525	-0.278904468879	1.57545708137e+13	0.606438087576	0.182423692451	-0.520700277897	-0.278904468879	0.014878242519	2.25019115042	0.444216446086	0.564788711865	0.224204320989	0.0279731819631	0.0003355707222	0.0008140466839	0.000766700889926	2.35531211344	1.16082431158e-09	10.5791090272	2.04060153084	2.24421086514	0.20251291413	1.98241531686	8.2221366	1
15	197	147	139	0.725888324873	0.725604289323	141636.538702	69027.9182259	25634.7682508	0.334174667582	2.21071642574e+13	1.38960165907	0.677235624138	0.251503720844	0.334174667582	0.0208774808986	1.79161899404	0.406619977875	0.311552948848	0.200425684566	0.00895767907868	135	232	243	0.568421052632	0.568573532684	283757.378133	139058.908011	54209.9472724	0.340553004393	2.00266559278e+14	2.78395481165	1.36431242285	0.53185592756	0.340553004393	0.189126982425	3.58589018884	0.820009408857	0.624923412716	0.201474772718	0.0732308839953	28532.9377296	-56921.4259855	-3026.66745146	-1.05050685641	1.0402421977e+12	0.279937775735	-0.558458351996	-0.0296947535611	-1.05050685641	0.000982380026659	2.25000582941	0.558669997489	0.399296360045	0.212880861243	0.0221165691137	0.000488503005727	0.000395021926352	0.000864743148895	1.28941384237	2.38863298171e-10	10.8319109315	1.71693550952	1.82130059772	0.163324649253	0.902747190539	8.2428016875	1
16	194	145	153	0.768041237113	0.767764428081	138378.520072	35427.6332908	94154.2653298	0.468215365193	8.040732195e+13	1.35763710998	0.34758190541	0.923751205088	0.468215365193	0.0759347652452	1.59599729391	0.177067493643	0.528718407278	0.22111124612	0.00549154302406	139	234	234	0.594017094017	0.594017094017	275609.493695	70362.2663156	190336.625425	0.472949767161	6.50774003409e+14	2.70401559656	0.690326965794	1.86740012779	0.472949767161	0.6145755135	3.19202031555	0.390446122251	1.07980714295	0.230301364005	0.055686378273	45245.9348264	27731.5924213	61757.6540929	0.988920295907	6.48263594534e+13	0.443909648435	0.272075745358	0.605906776415	0.988920295907	0.0612204742978	2.04776221974	0.279536879609	0.875063667049	0.28191763075	0.0292198514706	0.000345291515941	0.000507348019482	0.000577260849468	1.57056982126	2.48410666134e-10	11.492731878	1.68563605004	1.66086311529	0.145591979386	0.681980610534	8.23195605882	1
17	198	147	139	0.722222222222	0.721939621195	114426.335858	51177.7434329	28304.6140689	0.347307972879	1.8337948537e+13	1.12264128739	0.502106856277	0.277697683308	0.347307972879	0.0173179230879	1.70591385569	0.263805592195	0.26081986183	0.153766689999	0.0027751867895	135	237	235	0.572033898305	0.572039033697	229125.704381	102179.999379	58978.4090071	0.351681206659	1.58505407919e+14	2.247961309	1.00249199791	0.578639493428	0.351681206659	0.149688742872	3.41806263651	0.547082254841	0.532245320061	0.157885868353	0.0248055546575	10826.1827351	-34471.2542086	3001.36611351	-1.45341570825	9.88727848827e+11	0.106216105165	-0.33819883257	0.029446521138	-1.45341570825	0.000933731099	2.03940767925	0.455330907408	0.379836683369	0.204757390902	0.0146670921847	2.51513993135e-05	0.000187812340755	0.000499973180467	13.6729076711	3.50573848092e-10	10.2787209052	1.54206048245	1.79550216265	0.162353014343	0.74582271618	8.26113755556	1
18	191	153	150	0.793193717277	0.793154838091	178967.687619	53506.0402688	57285.7203548	0.309530066844	5.24957028334e+13	1.75585903125	0.524949868226	0.562032458399	0.309530066844	0.0495756950283	1.70714262383	0.270964558296	0.299681651637	0.167134896044	0.00386256214994	140	227	238	0.602150537634	0.602319090782	358966.316322	107565.78211	115375.950096	0.310532941489	4.29067046666e+14	3.52183266607	1.05533212438	1.13195799007	0.310532941489	0.4052007289	3.4141715172	0.564763462272	0.626547276355	0.174465566921	0.0366737687284	90699.9082092	47635.1991865	-47538.7841912	0.000531505473198	5.65386278658e+13	0.88986037134	0.467350815165	-0.46640488385	0.000531505473198	0.0533937374129	2.28156205159	0.361354910812	0.433769594304	0.174250028519	0.0107684662205	0.00010231510737	0.000124953767909	8.34472350562e-05	1.01842732868	1.06263190545e-12	10.89504951	1.49196874828	1.60292472543	0.142032097736	0.524948259797	8.26496678947	1
19	181	149	147	0.817679558011	0.817660892724	107441.820188	58163.9303249	73395.7467247	0.61223682184	1.69619555407e+14	1.05411592909	0.570648611001	0.720088561551	0.61223682184	0.160184679808	1.53467481186	0.28553031992	0.421969693807	0.230504862743	0.00945911749567	142	237	229	0.609442060086	0.60953188702	214602.009111	115864.180336	146249.998555	0.610698334039	1.33800071236e+15	2.10546876274	1.13674803618	1.43486449537	0.610698334039	1.26357609639	3.0757041655	0.591177883444	0.845889840103	0.23361605119	0.0813054042054	20270.202294	45432.3219369	51620.7418351	2.39398360125	2.71344027112e+14	0.198871752978	0.445738299717	0.506453131047	2.39398360125	0.256250855018	1.85117184399	0.456601323911	0.663393687807	0.302509736023	0.0495644471607	9.2516523182e-05	0.000732558531126	6.21683916506e-05	4.29505398303	2.24184003834e-11	10.4372283254	1.49386260013	2.51314873167	0.191957635058	1.35043133887	8.2700883	1
20	189	155	150	0.806878306878	0.806769877353	154530.151117	25642.2667358	76995.6659771	0.332096784902	2.52250570563e+13	1.51610139824	0.251577288776	0.755407511108	0.332096784902	0.0238219448106	1.61319194954	0.243071151261	0.500521609269	0.230472499179	0.00917543059192	146	224	227	0.647450110865	0.647464435387	308719.889532	53228.8037791	156348.912586	0.339430214041	2.24346104298e+14	3.02886299405	0.522229890107	1.53394533864	0.339430214041	0.211867132873	3.23839772149	0.510091252592	1.0041123611	0.23378901295	0.0810084259691	60250.9536544	16256.3123597	-62538.2874739	-0.384076701753	1.71542649961e+13	0.591124479077	0.15949132076	-0.613565601258	-0.384076701753	0.0162000804634	2.13343000026	0.311347451259	0.666858037469	0.229256523206	0.020205937804	0.00139048495066	7.1583961244e-05	0.000226525556172	0.107196240159	1.8910350239e-13	10.9186618572	1.70389008618	1.84936402863	0.162714724629	0.909407533976	8.29285309524	1
21	186	146	151	0.798387096774	0.798273950203	158855.919901	96816.6084095	20147.07947	0.368143938081	2.39508276031e+13	1.55854168613	0.94987155789	0.197663790103	0.368143938081	0.0226185927769	1.65574510954	0.663288721388	0.150883985657	0.245862935772	0.00604920133577	143	232	222	0.629955947137	0.630108818642	318195.851801	194153.853432	43241.594916	0.373033537371	2.21513869461e+14	3.12183203306	1.9048511021	0.42424499064	0.373033537371	0.209192437556	3.3177892869	1.3280779007	0.33499839661	0.250630186774	0.0596600697056	50884.764099	80010.0867641	2671.27169831	0.812437277901	8.9771367941e+11	0.499232424494	0.784982112161	0.0262079518309	0.812437277901	0.000847779478911	2.21840281318	0.85206278407	0.247285451061	0.24777921949	0.020012434225	0.00122096610971	0.000278662409073	0.000376115155859	0.268139123487	8.99694018745e-12	10.2114480834	1.64856125554	1.85841497643	0.171717870146	0.919196236092	8.30894031818	1
22	186	142	148	0.779569892473	0.779403022556	94233.994719	27443.6609564	41507.1373143	0.365848855693	1.3769623079e+13	0.924533433265	0.269250838416	0.407228158805	0.365848855693	0.0130037050191	1.74029297931	0.179701491439	0.200786872275	0.109317329966	0.000748086167038	146	234	226	0.634782608696	0.634878627847	188227.397757	56377.256309	82057.943135	0.367733924747	1.13701524608e+14	1.84670641207	0.55311948187	0.805073711663	0.367733924747	0.107377019527	3.48144076113	0.383884852419	0.446250189828	0.119222916489	0.00842946029771	-21746.2442376	10803.5718611	28839.9745013	-0.911503290622	-4.46416473921e+12	-0.213353258615	0.105994268991	0.282950125594	-0.911503290622	-0.00421585115965	1.95904622459	0.305865746618	0.355090647339	0.168693414596	0.00602137217636	0.000339605046975	0.000916537532703	0.000156736696681	1.58018003405	6.07669937732e-11	10.5962883265	1.32981721942	1.73521862963	0.144627805256	0.502502863372	8.31261095652	1
23	193	151	148	0.774611398964	0.774572407912	112153.915033	70889.3029848	21588.1379491	0.412279147398	2.08822525166e+13	1.10034647718	0.695497743312	0.211802071592	0.412279147398	0.0197207033413	1.83183246344	0.473860651853	0.280765572753	0.205975775533	0.00966280580554	138	227	222	0.614699331849	0.614737449002	223583.121026	141955.950623	48974.867075	0.426979498321	2.16179606666e+14	2.19358280543	1.392735422	0.480494349577	0.426979498321	0.204154886456	3.66758685883	0.952511849405	0.55721659096	0.205820407052	0.0768083514828	-19425.6990349	-58572.8705548	13527.9693422	1.15941519355	-3.2320761314e+13	-0.190586298245	-0.574660739701	0.132723439968	1.15941519355	-0.0305229593948	2.12839127203	0.614838240982	0.325689902909	0.220948130226	0.0188399116958	0.000348081704487	0.000904537573888	0.000650811820378	2.23417285973	9.95595422664e-10	10.9878799051	2.11180522915	2.0360905861	0.18874868724	1.68262760532	8.319170875	1
24	188	154	149	0.80585106383	0.805741337941	82560.0638857	43491.0997766	44042.0629605	0.530118065669	4.44391830506e+13	0.810000038123	0.426692892653	0.432098414149	0.530118065669	0.0419673090808	1.83833165803	0.333550709903	0.243327800853	0.156902729776	0.00358330136073	142	216	233	0.632516703786	0.632970555939	167981.34843	88143.771773	89689.5392372	0.529324572855	3.72053833552e+14	1.6480716248	0.8647820161	0.879947601566	0.529324572855	0.351358804449	3.6718784881	0.683500227064	0.518322199534	0.163652260075	0.034181305455	-32612.3632119	-12088.6075749	-12207.824517	0.372503395937	-6.67800660536e+11	-0.319961179796	-0.118601804985	-0.119771447099	0.372503395937	-0.000630655084122	1.98322671172	0.528447265648	0.481219553466	0.254551537942	0.0326074981611	0.000631428806855	0.000531105180244	0.00017217775553	0.556898044672	1.32431338302e-11	11.2865246685	2.15628681765	2.19629890326	0.192822230436	1.98717314776	8.33217696	1
25	191	149	155	0.795811518325	0.795656501849	88161.7921062	114186.201984	27722.0791266	0.804817357503	1.13657590156e+14	0.864958814298	1.12028532449	0.271982410049	0.804817357503	0.107335528874	1.85269074149	0.804748823539	0.163671511498	0.261355096495	0.00936405500197	136	235	228	0.58747300216	0.587540155323	177284.359466	229235.835705	56642.7603302	0.806271339719	9.51006350582e+14	1.73934383244	2.24904181175	0.555724352277	0.806271339719	0.89810781191	3.69722984386	1.62178855329	0.373343071842	0.269814389339	0.0991581018535	-22877.1060103	-103313.936599	-10978.4363289	2.49796396615	-5.62338360103e+13	-0.224448188003	-1.01361710063	-0.107709871171	2.49796396615	-0.0531058992231	2.03229912782	0.935542757217	0.29859902663	0.303631922819	0.0383986915957	0.000272045016118	0.000268257398147	5.50532877241e-06	0.503157034131	8.01731895135e-15	11.3222996326	1.94191877539	1.4454556732	0.149588624153	0.695884292325	8.33570896154	1
