states	PB1	PB2	PA	HA	NA	MP	NS
26680000	7	4	4	7	4	0	8
26700000	6	4	3	6	4	0	7
26720000	6	4	3	6	5	0	7
26740000	6	4	4	7	4	0	8
26760000	6	4	4	7	4	0	7
26780000	7	4	5	7	4	0	7
26800000	6	4	4	7	4	0	8
26820000	6	4	4	7	4	0	8
26840000	6	4	4	7	4	0	7
26860000	8	4	4	7	4	0	8
26880000	6	4	4	7	4	0	7
26900000	6	4	4	7	4	0	8
26920000	5	4	4	7	5	0	7
26940000	6	4	3	6	5	0	6
26960000	6	4	3	6	4	0	6
26980000	6	4	4	7	4	0	8
27000000	6	5	5	8	4	0	7
27020000	6	4	4	7	4	0	7
27040000	6	4	4	7	6	0	7
27060000	6	4	6	7	5	0	7
27080000	6	4	5	7	5	0	8
27100000	6	3	5	7	4	0	7
27120000	6	3	3	7	3	0	7
27140000	6	4	3	7	3	0	8
27160000	6	4	6	8	4	0	6
27180000	5	4	5	7	4	0	6
27200000	7	4	4	7	4	0	7
27220000	6	4	6	7	4	0	7
27240000	6	4	4	7	4	0	6
27260000	6	4	3	8	4	0	6
27280000	5	4	4	7	4	0	8
27300000	6	4	4	8	5	0	6
27320000	6	4	4	8	4	0	6
27340000	8	4	3	7	5	0	9
27360000	5	4	3	7	7	0	7
27380000	6	4	3	6	5	0	7
27400000	8	4	4	7	4	0	8
27420000	5	4	4	8	4	0	7
27440000	6	4	5	7	4	0	7
27460000	7	4	4	6	4	0	8
27480000	6	4	3	7	5	0	8
27500000	7	4	4	8	4	0	9
27520000	5	4	4	7	4	0	8
27540000	5	4	4	6	4	0	7
27560000	6	4	3	8	4	0	7
27580000	6	4	4	7	4	0	7
27600000	6	3	4	8	4	0	7
27620000	6	3	9	7	3	1	7
27640000	6	4	4	7	6	0	7
27660000	5	4	3	8	4	0	7
27680000	6	4	4	7	5	0	8
27700000	6	4	4	7	4	0	7
27720000	6	4	5	7	4	0	9
27740000	6	4	3	7	4	0	8
27760000	6	4	7	7	4	0	7
27780000	6	4	4	7	4	0	8
27800000	6	4	5	7	5	0	9
27820000	5	4	4	7	4	0	7
27840000	6	4	6	7	5	0	7
27860000	7	3	3	7	3	1	8
27880000	7	4	6	8	4	0	7
27900000	5	4	4	6	4	0	7
27920000	8	4	5	6	4	0	7
27940000	7	4	6	7	4	0	7
27960000	7	4	6	8	4	0	6
27980000	6	4	5	7	4	0	7
28000000	6	4	3	7	4	0	8
28020000	6	4	5	8	4	0	7
28040000	6	4	3	6	4	0	7
28060000	7	4	4	6	5	0	6
28080000	6	4	4	7	4	0	6
28100000	6	4	4	7	4	0	6
28120000	6	4	4	7	5	0	7
28140000	6	4	4	7	4	0	7
28160000	6	7	4	7	4	0	8
28180000	6	4	3	7	4	0	7
28200000	6	4	4	7	4	0	7
28220000	6	4	6	7	5	0	8
28240000	7	4	4	7	4	0	7
28260000	6	7	3	8	4	0	7
28280000	5	4	4	7	5	0	8
28300000	6	4	4	6	4	0	6
28320000	6	7	3	7	5	0	8
28340000	6	4	4	7	4	0	7
28360000	6	4	4	7	3	0	7
28380000	6	4	6	8	4	0	7
28400000	5	4	4	7	5	0	8
28420000	7	4	6	8	5	0	7
28440000	7	4	3	7	4	0	8
28460000	6	4	5	8	4	0	7
28480000	6	5	5	8	5	0	8
28500000	6	4	4	7	4	0	8
28520000	5	4	4	7	4	0	7
28540000	7	4	4	7	4	0	7
28560000	6	4	4	8	4	0	6
28580000	6	4	4	7	4	0	7
28600000	6	4	4	8	4	0	6
28620000	6	4	4	7	4	0	8
28640000	6	4	5	7	4	0	7
28660000	6	4	3	6	3	0	7
28680000	6	4	4	7	5	0	8
28700000	6	4	4	7	4	0	8
28720000	6	4	4	7	5	0	7
28740000	6	3	6	7	3	1	7
28760000	6	4	4	7	4	0	6
28780000	6	4	4	7	4	0	8
28800000	6	4	4	7	4	0	7
28820000	6	4	4	7	4	0	7
28840000	6	4	4	7	4	0	7
28860000	6	5	5	7	5	0	6
28880000	6	4	6	7	4	0	7
28900000	6	4	5	7	4	0	8
28920000	6	5	4	7	5	0	8
28940000	6	3	3	7	3	0	6
28960000	6	4	4	8	4	0	7
28980000	6	4	4	7	6	0	7
29000000	6	4	6	7	4	0	7
29020000	6	4	3	7	4	0	7
29040000	6	4	4	8	5	0	8
29060000	5	4	3	6	4	0	7
29080000	6	4	3	7	4	0	9
29100000	7	4	4	8	4	0	8
29120000	6	4	4	7	4	0	7
29140000	5	4	3	6	4	0	7
29160000	5	4	4	6	4	0	6
29180000	7	4	3	6	4	0	7
29200000	6	5	4	7	4	0	6
29220000	6	6	3	7	4	0	7
29240000	7	5	3	7	6	0	6
29260000	7	4	4	8	5	0	6
29280000	8	4	5	7	4	0	6
29300000	6	4	4	7	4	0	7
29320000	6	4	3	7	4	0	7
29340000	6	5	6	7	4	0	8
29360000	6	4	4	7	4	0	7
29380000	6	4	5	7	5	0	7
29400000	7	4	3	7	4	0	9
29420000	6	4	4	8	4	0	8
29440000	7	4	4	7	4	0	6
29460000	6	4	4	7	4	0	8
29480000	6	4	5	7	5	0	6
29500000	6	4	6	7	5	0	8
29520000	6	4	4	7	4	0	7
29540000	7	4	7	7	5	0	7
29560000	8	4	4	7	4	0	8
29580000	7	6	4	7	4	0	8
29600000	5	4	4	7	4	0	7
29620000	6	4	3	7	5	0	8
29640000	6	4	4	7	4	0	7
29660000	6	4	4	7	4	0	7
29680000	5	4	4	7	4	0	6
29700000	5	4	7	7	4	0	7
29720000	7	4	4	7	4	0	6
29740000	6	4	5	7	5	0	8
29760000	6	4	3	7	4	0	7
29780000	7	4	4	7	4	0	8
29800000	6	4	4	7	4	0	8
29820000	6	4	3	6	4	0	7
29840000	6	4	5	7	4	0	7
29860000	6	5	4	7	4	0	8
29880000	6	4	4	7	3	0	7
29900000	6	3	5	7	3	0	7
29920000	7	5	4	7	4	0	6
29940000	5	4	4	7	5	0	7
29960000	5	4	4	8	5	0	6
29980000	7	5	3	7	4	1	6
30000000	5	4	3	8	4	0	6
30020000	7	4	4	8	4	0	7
30040000	6	4	4	8	4	0	8
30060000	7	4	6	7	4	0	7
30080000	7	4	4	8	6	0	7
30100000	6	4	6	7	4	0	6
30120000	5	4	4	8	5	0	7
30140000	6	4	4	7	4	0	8
30160000	6	7	4	7	4	0	8
30180000	6	4	7	9	4	0	7
30200000	8	6	4	7	4	0	6
30220000	6	4	4	7	6	0	7
30240000	6	4	3	7	4	0	7
30260000	6	4	5	6	5	0	7
30280000	6	4	4	7	5	0	7
30300000	7	4	4	7	5	0	7
30320000	6	4	6	8	4	0	8
30340000	5	4	4	7	4	0	7
30360000	6	4	4	7	4	0	7
30380000	6	7	3	7	4	0	8
30400000	5	4	5	8	5	0	7
30420000	6	5	3	6	4	0	8
30440000	6	5	5	7	4	0	7
30460000	6	4	5	7	4	0	7
30480000	6	4	3	6	4	0	7
30500000	6	4	3	6	5	0	7
30520000	6	4	3	6	4	0	7
30540000	6	4	4	8	4	0	6
30560000	6	5	3	6	5	0	6
30580000	6	4	3	6	4	0	10
30600000	6	5	4	7	5	0	8
30620000	6	4	3	7	4	0	7
30640000	6	4	5	7	4	0	7
30660000	6	4	5	7	4	0	7
30680000	6	4	4	8	5	0	7
30700000	6	4	4	7	4	0	8
30720000	6	4	4	7	4	0	8
30740000	6	4	3	7	6	0	7
30760000	5	4	4	7	5	0	7
30780000	8	4	3	7	5	0	7
30800000	6	4	3	6	4	0	6
30820000	8	4	6	7	4	0	7
30840000	6	4	3	6	4	0	7
30860000	6	4	4	7	4	0	8
30880000	7	4	4	7	4	0	7
30900000	6	4	3	7	4	0	7
30920000	6	3	3	8	3	1	8
30940000	6	3	4	6	3	0	8
30960000	6	6	4	7	4	0	7
30980000	6	4	4	7	4	0	7
31000000	7	4	5	7	4	0	7
31020000	6	4	4	7	4	0	6
31040000	6	4	4	7	4	1	7
31060000	6	4	3	7	4	0	7
31080000	7	6	5	8	5	0	7
31100000	6	4	6	8	4	0	7
31120000	6	4	4	7	4	0	8
31140000	6	4	4	7	4	0	8
31160000	5	4	4	6	4	0	7
31180000	6	4	4	7	6	0	7
31200000	6	5	5	7	4	0	9
31220000	6	4	4	7	4	0	8
31240000	6	4	4	7	4	0	8
31260000	6	4	4	7	4	1	7
31280000	6	4	4	8	3	0	7
31300000	6	3	7	7	3	0	7
31320000	6	4	4	7	5	0	7
31340000	7	4	3	7	4	0	8
31360000	7	4	7	6	4	0	7
31380000	7	4	3	7	5	0	7
31400000	6	6	4	7	4	0	7
31420000	6	4	3	7	5	0	7
31440000	6	4	4	7	4	0	7
31460000	6	4	4	7	4	0	6
31480000	6	4	3	7	5	0	7
31500000	6	4	4	7	4	0	7
31520000	6	4	6	7	4	0	6
31540000	7	4	4	7	5	0	6
31560000	6	6	5	7	5	1	8
31580000	6	5	6	7	4	0	7
31600000	6	4	4	6	5	0	9
31620000	6	4	4	7	4	0	7
31640000	6	4	3	7	5	0	7
31660000	6	4	4	7	4	0	6
31680000	6	4	3	8	4	0	6
31700000	6	5	3	7	4	0	6
31720000	6	4	4	7	4	0	6
31740000	5	4	3	7	4	0	8
31760000	6	4	5	8	4	0	6
31780000	6	5	4	8	5	0	7
31800000	6	4	5	7	5	0	7
31820000	7	4	4	8	4	0	9
31840000	6	7	4	7	4	0	7
31860000	6	4	3	7	4	0	7
31880000	5	4	4	7	6	0	8
31900000	6	4	6	7	4	0	7
31920000	6	4	4	7	4	0	6
31940000	6	4	4	7	4	0	8
31960000	8	4	4	7	4	0	7
31980000	6	4	6	7	4	0	6
32000000	6	4	3	7	5	0	7
32020000	7	4	5	7	4	0	8
32040000	6	4	4	7	4	0	8
32060000	7	4	3	8	6	0	7
32080000	6	4	4	7	4	0	7
32100000	6	6	6	7	4	0	7
32120000	6	3	6	8	3	0	8
32140000	6	4	4	7	4	0	7
32160000	6	4	4	9	5	0	6
32180000	6	4	4	7	5	0	7
32200000	7	4	6	7	5	0	6
32220000	6	4	4	7	4	0	7
32240000	5	4	4	7	4	0	7
32260000	6	4	4	8	4	0	8
32280000	5	4	4	8	4	0	8
32300000	6	5	3	7	4	0	7
32320000	6	4	4	7	5	0	6
32340000	6	4	3	8	5	0	9
32360000	5	4	5	7	5	0	7
32380000	6	4	4	7	4	0	7
32400000	5	4	4	7	6	0	7
32420000	8	4	3	6	4	0	7
32440000	6	4	4	7	5	0	8
32460000	6	4	5	6	3	0	6
32480000	5	4	4	7	5	0	7
32500000	6	4	3	7	4	0	7
32520000	6	4	6	8	4	0	7
32540000	5	4	5	8	4	0	6
32560000	7	4	4	8	4	0	6
32580000	6	4	5	7	5	0	6
32600000	7	4	5	8	6	0	8
32620000	6	4	4	7	4	0	7
32640000	6	4	3	7	5	0	8
32660000	6	4	5	7	4	0	6
32680000	6	4	6	7	4	0	7
32700000	6	6	4	7	5	1	7
32720000	6	6	4	7	4	1	7
32740000	6	6	6	8	4	1	7
32760000	7	4	4	7	4	0	7
32780000	7	4	4	8	4	0	7
32800000	6	4	6	7	4	0	9
32820000	7	5	3	8	4	0	7
32840000	7	4	4	7	4	0	7
32860000	6	5	4	7	4	0	7
32880000	8	4	3	6	4	0	8
32900000	7	4	3	6	4	0	7
32920000	5	4	5	7	4	0	7
32940000	7	4	4	6	4	0	8
32960000	7	4	4	7	5	0	7
32980000	6	4	3	8	4	0	9
33000000	6	4	4	7	4	0	7
33020000	6	4	5	7	4	0	7
33040000	6	5	4	6	4	0	7
33060000	6	4	6	7	5	0	7
33080000	5	5	8	7	4	0	7
33100000	6	4	4	7	4	0	7
33120000	6	4	5	7	4	0	6
33140000	6	4	4	8	5	0	9
33160000	6	4	4	7	4	0	8
33180000	6	4	5	7	5	0	7
33200000	6	4	4	7	4	0	6
33220000	7	6	4	8	5	0	7
33240000	6	4	4	7	6	0	6
33260000	5	4	5	7	4	0	6
33280000	5	4	5	6	5	0	7
33300000	6	4	3	7	4	0	7
33320000	6	4	3	8	4	0	7
33340000	6	4	4	7	4	0	8
33360000	6	4	3	7	4	0	7
33380000	6	4	4	8	4	0	8
33400000	6	4	4	7	5	0	7
33420000	6	4	4	6	4	0	7
33440000	6	4	4	8	4	0	7
33460000	6	4	5	6	5	0	8
33480000	6	4	5	7	4	0	7
33500000	6	4	4	7	4	0	7
33520000	6	4	4	8	4	0	8
33540000	6	4	4	7	4	0	6
33560000	6	4	4	7	5	0	6
33580000	6	4	3	6	4	0	8
33600000	6	4	4	7	4	0	7
33620000	6	4	4	7	4	0	7
33640000	8	4	4	7	4	0	6
33660000	6	3	4	7	3	0	7
33680000	6	7	4	7	4	0	7
33700000	5	4	4	7	4	0	7
33720000	6	4	7	6	4	1	8
33740000	6	4	4	7	4	0	8
33760000	7	4	4	8	4	0	6
33780000	6	4	4	7	5	0	10
33800000	6	4	5	7	5	0	7
33820000	6	4	5	7	4	0	8
33840000	6	4	3	7	4	0	8
33860000	7	4	4	7	4	0	8
33880000	5	4	7	7	3	0	7
33900000	5	4	4	7	5	0	7
33920000	5	4	4	7	5	0	7
33940000	5	5	4	7	5	0	9
33960000	5	4	4	8	7	0	7
33980000	8	4	11	7	5	0	6
34000000	8	4	4	8	4	0	7
34020000	5	4	4	6	5	0	6
34040000	6	4	4	7	4	0	6
34060000	6	4	4	7	4	0	6
34080000	7	4	5	8	4	1	7
34100000	5	4	3	7	4	0	6
34120000	6	4	3	7	4	0	7
34140000	6	4	4	8	4	0	7
34160000	6	4	6	7	4	0	7
34180000	6	7	4	7	5	0	6
34200000	6	4	4	7	4	0	6
34220000	5	4	4	7	4	0	6
34240000	5	4	4	7	5	0	6
34260000	5	4	4	7	5	0	6
34280000	6	4	4	7	5	0	8
34300000	6	4	4	6	5	0	8
34320000	6	4	5	7	5	1	7
34340000	5	4	6	8	4	0	7
34360000	6	4	5	7	5	0	8
34380000	5	4	9	7	4	0	7
34400000	7	4	4	7	4	0	7
34420000	6	4	4	7	4	0	7
34440000	8	4	6	7	4	0	8
34460000	6	4	3	6	4	0	7
34480000	6	4	4	7	4	0	7
34500000	7	4	5	7	4	0	6
34520000	6	4	4	7	4	0	7
34540000	6	4	4	7	4	0	6
34560000	6	4	5	7	4	0	7
34580000	6	4	6	7	4	0	7
34600000	6	4	6	7	4	0	8
34620000	6	4	8	7	4	0	9
34640000	6	4	6	8	4	0	7
34660000	6	4	4	7	4	0	8
34680000	7	4	4	8	4	0	6
34700000	6	4	3	7	4	0	9
34720000	6	4	6	7	4	0	7
34740000	6	3	5	7	3	0	7
34760000	6	4	4	6	4	0	8
34780000	7	4	6	8	5	0	7
34800000	6	4	8	7	4	0	7
34820000	6	4	5	7	4	0	7
34840000	6	4	4	7	4	0	8
34860000	6	4	4	7	5	0	7
34880000	6	4	4	7	5	0	7
34900000	6	4	4	7	4	0	7
34920000	7	4	5	7	4	1	7
34940000	6	4	5	7	5	0	7
34960000	6	4	6	7	4	0	7
34980000	6	6	4	7	4	0	8
35000000	6	4	4	7	4	0	8
35020000	6	5	4	7	4	0	7
35040000	6	6	4	7	4	0	8
35060000	6	4	4	7	4	0	7
35080000	6	4	7	7	4	0	7
35100000	6	3	8	7	4	0	7
35120000	6	3	4	7	3	0	9
35140000	6	4	7	7	3	0	7
35160000	5	4	4	8	4	0	7
35180000	9	4	5	7	5	0	7
35200000	6	4	6	9	5	0	7
35220000	7	4	5	6	4	0	7
35240000	6	4	5	7	4	0	7
35260000	6	4	4	8	4	0	7
35280000	5	4	4	7	4	0	7
35300000	5	6	3	7	4	0	7
35320000	6	4	4	8	4	0	7
35340000	6	5	4	7	5	0	7
35360000	6	4	4	7	4	0	6
35380000	5	5	5	7	4	0	7
35400000	5	4	4	7	4	0	7
35420000	6	4	6	7	4	0	7
35440000	6	4	3	7	5	0	8
