states	PB2	PA	HA	NP	NA	MP	NS
25080000	2	7	3	5	2	2	4
25100000	2	5	4	5	2	2	4
25120000	3	4	4	5	2	2	6
25140000	2	6	3	5	2	2	4
25160000	2	4	4	5	2	2	5
25180000	2	6	3	5	2	2	4
25200000	2	6	3	6	2	2	5
25220000	2	5	3	6	2	2	6
25240000	2	5	4	5	2	2	6
25260000	2	6	3	5	2	2	4
25280000	2	4	3	6	2	2	5
25300000	2	5	3	5	2	4	7
25320000	2	5	4	6	2	2	4
25340000	2	7	3	5	2	2	6
25360000	2	5	3	5	2	2	3
25380000	2	5	4	5	2	2	4
25400000	2	5	3	5	2	2	4
25420000	2	4	3	5	2	2	4
25440000	2	5	3	5	2	2	5
25460000	3	5	4	6	2	2	5
25480000	2	5	3	5	2	2	5
25500000	2	5	4	6	2	4	4
25520000	3	5	3	5	2	2	5
25540000	2	6	3	5	2	2	4
25560000	2	6	3	7	2	2	4
25580000	2	6	3	5	3	2	3
25600000	2	5	3	5	2	2	5
25620000	2	5	3	5	2	2	4
25640000	3	5	3	7	2	2	4
25660000	3	5	4	5	2	2	4
25680000	3	4	4	6	2	4	5
25700000	2	5	3	5	2	2	4
25720000	2	4	4	5	2	2	4
25740000	2	5	5	5	2	2	4
25760000	3	5	3	5	2	2	4
25780000	3	5	4	5	2	2	4
25800000	2	5	4	5	2	2	4
25820000	2	5	3	6	2	2	3
25840000	2	5	4	5	2	2	4
25860000	2	6	4	5	2	2	6
25880000	2	6	3	7	2	2	3
25900000	2	5	3	5	2	2	4
25920000	3	5	3	6	2	2	5
25940000	3	7	4	7	2	2	4
25960000	2	5	3	5	2	2	4
25980000	3	6	3	7	3	2	5
26000000	2	5	3	5	2	2	4
26020000	2	5	3	5	2	2	4
26040000	3	5	4	5	2	2	5
26060000	3	6	4	5	3	2	4
26080000	2	5	3	5	2	2	3
26100000	3	6	3	5	2	2	5
26120000	2	5	3	8	2	2	5
26140000	2	5	3	5	2	2	5
26160000	2	5	3	5	2	2	5
26180000	2	6	3	5	2	2	4
26200000	2	5	3	5	2	2	4
26220000	2	4	3	7	2	3	4
26240000	2	5	3	6	2	2	3
26260000	2	5	3	5	2	2	4
26280000	2	5	4	5	2	2	4
26300000	2	5	3	5	2	2	4
26320000	2	5	4	7	2	2	5
26340000	2	6	3	8	2	2	3
26360000	2	5	3	5	2	2	5
26380000	2	5	3	5	2	2	3
26400000	2	5	3	7	2	3	3
26420000	2	5	3	5	2	2	3
26440000	2	5	3	5	2	2	5
26460000	3	5	3	7	2	2	3
26480000	2	5	3	5	2	2	3
26500000	2	4	3	7	3	2	4
26520000	2	5	3	5	2	2	5
26540000	2	5	3	5	2	2	5
26560000	2	6	3	5	2	2	4
26580000	2	5	3	5	2	2	4
26600000	2	5	3	5	2	2	8
26620000	2	4	3	5	2	2	4
26640000	2	6	3	5	2	2	3
26660000	2	5	4	6	3	2	4
26680000	2	6	3	5	2	2	4
26700000	3	6	3	5	2	2	4
26720000	2	5	3	5	2	2	7
26740000	2	6	3	5	2	2	4
26760000	2	5	3	7	2	2	4
26780000	2	5	4	6	2	2	3
26800000	2	5	4	5	2	2	5
26820000	2	5	3	5	2	2	4
26840000	2	5	3	6	2	3	4
26860000	2	5	4	5	2	2	5
26880000	2	5	4	5	2	2	4
26900000	2	4	3	6	2	2	4
26920000	2	5	3	5	2	2	4
26940000	3	5	3	5	2	2	4
26960000	2	5	3	5	2	2	5
26980000	2	5	3	5	2	2	4
27000000	2	5	3	6	2	2	6
27020000	2	6	4	5	2	2	3
27040000	2	5	3	6	3	2	3
27060000	2	5	3	6	2	2	4
27080000	3	5	3	5	2	2	4
27100000	2	6	4	5	2	2	4
27120000	2	5	3	5	2	2	4
27140000	2	5	3	5	2	2	3
27160000	3	5	3	7	2	2	5
27180000	2	5	3	5	2	2	4
27200000	2	5	3	5	2	2	5
27220000	3	5	3	5	2	3	5
27240000	3	6	4	7	2	2	4
27260000	2	5	3	5	3	2	5
27280000	2	6	3	5	2	2	5
27300000	3	5	3	5	2	2	5
27320000	2	5	3	5	2	3	4
27340000	2	7	3	5	2	2	4
27360000	3	6	4	5	2	2	4
27380000	2	5	4	5	2	2	5
27400000	3	6	3	5	2	2	5
27420000	2	5	3	5	2	2	5
27440000	3	5	3	5	2	2	4
27460000	2	5	3	5	2	2	5
27480000	3	5	3	5	2	3	4
