states	PB1	PB2	PA	HA	NP	NA	MP
26940000	6	3	6	7	5	2	2
26960000	5	3	6	7	4	2	1
26980000	7	3	5	7	5	2	1
27000000	8	3	5	8	4	2	1
27020000	6	3	10	7	4	2	1
27040000	8	3	5	6	4	2	1
27060000	5	3	9	7	5	2	3
27080000	6	3	4	7	5	2	2
27100000	7	3	4	6	5	2	2
27120000	5	3	5	8	6	2	2
27140000	6	3	7	6	5	2	2
27160000	5	3	6	7	5	2	2
27180000	5	3	8	6	5	2	3
27200000	5	3	6	7	5	2	2
27220000	5	3	7	6	7	2	2
27240000	6	3	5	5	5	2	2
27260000	5	3	6	7	7	2	2
27280000	6	3	5	8	5	2	2
27300000	5	3	6	7	5	2	2
27320000	5	3	7	6	5	2	2
27340000	6	3	6	7	5	2	2
27360000	5	3	6	5	7	2	2
27380000	5	3	6	5	5	2	2
27400000	5	3	5	6	7	2	2
27420000	6	3	6	5	5	2	2
27440000	5	3	6	6	5	2	2
27460000	5	3	5	6	5	3	2
27480000	6	3	4	6	5	2	2
27500000	5	3	5	7	5	2	2
27520000	5	3	5	6	6	2	2
27540000	5	3	5	6	5	2	2
27560000	5	3	5	6	5	3	2
27580000	5	3	4	8	4	2	1
27600000	6	3	4	8	5	2	1
27620000	5	3	8	7	4	3	1
27640000	5	3	5	6	5	2	2
27660000	6	3	5	7	5	2	2
27680000	6	3	4	7	4	2	1
27700000	7	3	6	6	4	2	1
27720000	6	4	7	7	5	2	1
27740000	9	3	7	8	4	2	1
27760000	6	3	6	7	4	2	1
27780000	6	3	4	7	5	2	1
27800000	6	3	4	6	7	2	2
27820000	7	3	4	7	4	2	1
27840000	7	3	4	6	5	2	1
27860000	6	3	4	8	4	2	1
27880000	6	3	4	6	4	2	1
27900000	6	3	5	7	4	2	1
27920000	7	3	4	6	4	2	1
27940000	7	3	4	6	4	2	1
27960000	7	3	5	6	4	2	1
27980000	6	3	6	7	4	2	1
28000000	6	3	5	7	4	2	1
28020000	6	3	8	8	4	2	1
28040000	5	3	7	6	4	2	2
28060000	6	3	10	7	4	2	1
28080000	5	3	6	6	4	2	1
28100000	6	3	4	6	4	2	1
28120000	7	3	4	7	4	2	1
28140000	6	3	4	7	4	2	1
28160000	5	3	4	6	4	2	1
28180000	7	3	7	8	4	2	1
28200000	5	3	5	8	5	3	1
28220000	6	3	3	7	3	2	1
28240000	7	3	4	7	4	2	1
28260000	5	3	4	6	6	2	2
28280000	6	3	3	7	3	2	1
28300000	5	3	4	6	4	2	1
28320000	5	3	4	6	4	2	1
28340000	6	3	4	6	5	2	2
28360000	7	3	4	6	4	2	1
28380000	6	3	3	6	3	2	1
28400000	5	3	4	6	4	2	1
28420000	6	3	5	8	6	2	2
28440000	5	3	5	7	3	2	2
28460000	6	3	4	7	4	2	1
28480000	7	3	6	7	5	2	1
28500000	7	3	4	6	4	2	1
28520000	5	3	4	6	4	2	1
28540000	6	3	6	8	4	2	1
28560000	6	3	6	9	5	2	2
28580000	7	3	6	7	4	2	1
28600000	6	3	5	8	4	2	1
28620000	6	3	6	6	4	2	1
28640000	5	3	5	7	4	2	2
28660000	5	3	6	7	6	2	2
28680000	7	3	5	6	5	2	2
28700000	5	3	5	5	6	2	2
28720000	6	3	7	7	5	2	2
28740000	5	3	6	6	6	2	2
28760000	7	3	5	6	6	2	2
28780000	5	3	4	8	5	3	1
28800000	5	3	7	6	4	2	1
28820000	7	3	7	6	4	2	1
28840000	5	3	5	6	5	2	2
28860000	5	3	4	7	5	2	2
28880000	6	3	4	6	5	2	2
28900000	6	3	5	6	5	2	2
28920000	6	3	5	6	5	2	2
28940000	5	3	5	6	7	2	2
28960000	7	3	6	5	5	2	2
28980000	5	3	5	6	6	2	2
29000000	6	3	5	6	5	2	2
29020000	6	3	5	7	5	2	2
29040000	6	3	6	7	5	2	2
29060000	7	3	6	6	5	2	2
29080000	6	3	6	5	7	2	2
29100000	5	3	6	5	5	2	2
29120000	6	3	6	5	5	2	2
29140000	6	3	6	5	5	2	2
29160000	6	3	6	5	6	2	2
29180000	6	3	4	6	5	2	2
29200000	5	3	6	7	5	2	3
29220000	5	3	6	5	5	2	2
29240000	5	3	7	8	5	2	2
29260000	5	3	7	7	5	2	2
29280000	6	3	4	7	7	2	2
29300000	5	3	6	6	5	2	2
29320000	6	3	5	6	5	2	2
29340000	5	3	5	5	5	2	3
29360000	5	3	4	5	5	2	2
29380000	6	3	5	6	5	2	2
29400000	5	3	4	6	6	2	2
29420000	5	3	4	6	5	2	2
29440000	6	3	4	6	4	2	1
29460000	5	3	5	7	4	2	1
29480000	5	3	4	7	4	2	1
29500000	5	3	4	6	4	2	2
29520000	6	3	4	6	4	2	1
29540000	7	3	4	8	5	2	1
29560000	6	3	4	9	4	2	1
29580000	5	3	5	7	4	2	1
29600000	5	3	5	6	4	2	1
29620000	6	3	4	6	5	2	2
29640000	5	3	5	6	5	2	2
29660000	5	3	5	6	5	2	2
29680000	7	3	4	6	4	2	1
29700000	8	3	4	6	4	2	1
29720000	7	3	4	7	5	2	1
29740000	7	3	4	7	4	2	1
29760000	6	3	5	9	5	2	2
29780000	5	3	5	5	5	2	2
29800000	5	3	6	7	5	2	2
29820000	5	3	5	6	6	2	2
29840000	6	3	6	5	5	2	2
29860000	7	3	4	7	5	2	2
29880000	6	3	5	6	5	2	2
29900000	5	3	5	6	6	2	2
29920000	6	3	5	6	5	2	2
29940000	6	3	5	6	5	2	2
29960000	5	3	7	7	5	2	2
29980000	5	3	4	6	5	2	2
30000000	5	3	5	6	5	2	2
30020000	5	3	6	6	4	2	1
30040000	5	3	6	6	4	2	2
30060000	5	3	6	5	5	2	2
30080000	5	3	6	5	5	2	2
30100000	6	3	5	5	5	2	2
30120000	5	3	5	5	5	2	4
30140000	5	3	5	6	5	2	2
30160000	5	3	5	6	5	2	3
30180000	5	3	6	8	5	2	2
30200000	6	3	6	8	5	2	2
30220000	5	3	5	7	5	2	2
30240000	6	3	4	8	6	2	2
30260000	5	3	5	6	5	2	2
30280000	6	3	5	6	6	2	2
30300000	5	3	6	7	5	2	2
30320000	6	3	8	6	5	2	2
30340000	6	3	5	5	5	2	3
30360000	6	3	5	5	5	3	2
30380000	6	3	5	6	5	2	2
30400000	6	3	4	6	4	2	1
30420000	6	3	5	6	7	2	1
30440000	6	3	5	6	4	2	1
30460000	6	3	4	7	4	2	1
30480000	6	3	5	6	4	2	1
30500000	8	3	4	6	4	3	1
30520000	6	3	4	7	4	2	1
30540000	5	3	6	6	4	2	1
30560000	7	3	4	7	4	2	2
30580000	6	3	5	6	5	2	1
30600000	5	3	4	6	6	2	2
30620000	6	3	7	7	4	2	1
30640000	5	3	4	7	4	2	1
30660000	5	3	4	7	5	2	1
30680000	7	3	4	6	4	2	1
30700000	6	3	5	7	4	2	1
30720000	6	3	4	6	5	2	2
30740000	5	3	5	7	5	2	2
30760000	5	3	5	5	5	2	2
30780000	5	3	5	6	6	2	2
30800000	6	3	5	5	5	2	2
30820000	5	3	5	6	5	3	2
30840000	6	3	5	6	5	2	2
30860000	5	3	4	5	6	2	2
30880000	5	3	5	6	5	2	2
30900000	5	3	4	6	4	2	2
30920000	6	3	4	6	5	2	2
30940000	5	3	6	6	4	2	1
30960000	5	3	7	7	4	2	1
30980000	5	3	7	7	3	2	1
31000000	5	3	8	6	3	2	1
31020000	5	3	3	6	4	3	3
31040000	6	3	3	6	3	2	1
31060000	5	3	4	7	6	2	2
31080000	6	3	4	6	5	2	4
31100000	5	3	4	7	4	2	1
31120000	7	3	5	6	4	2	1
31140000	5	3	3	6	6	2	1
31160000	5	3	7	5	5	2	2
31180000	5	3	5	6	6	2	2
31200000	7	3	6	7	5	2	1
31220000	6	3	5	7	5	2	2
31240000	5	3	4	7	5	2	2
31260000	5	3	4	7	5	2	2
31280000	5	3	5	6	5	2	2
31300000	5	3	5	6	5	2	2
31320000	5	3	5	6	5	2	3
31340000	7	3	5	6	7	2	2
31360000	5	3	4	5	4	2	2
31380000	6	3	5	7	3	2	1
31400000	5	3	4	8	4	2	1
31420000	6	3	3	6	4	2	1
31440000	6	3	6	6	4	2	1
31460000	7	3	4	6	6	2	3
31480000	7	3	5	5	5	2	2
31500000	5	3	5	6	5	2	2
31520000	6	3	5	5	5	2	4
31540000	5	3	6	6	4	2	1
31560000	8	3	4	7	6	2	1
31580000	5	3	4	6	7	2	2
31600000	6	3	4	6	5	2	2
31620000	5	3	4	6	4	2	2
31640000	5	3	5	6	6	3	2
31660000	5	3	4	7	4	2	1
31680000	5	3	4	6	4	2	1
31700000	5	3	5	8	5	2	1
31720000	6	3	4	6	4	2	1
31740000	5	3	4	6	5	2	1
31760000	6	3	4	7	5	2	1
31780000	5	3	3	6	3	2	1
31800000	5	3	6	7	4	2	1
31820000	8	3	3	7	3	2	1
31840000	5	3	3	9	3	2	1
31860000	7	3	5	6	5	2	1
31880000	7	3	4	8	4	3	1
