states	PB1	PB2	PA	HA	NP	NA	NS
25980000	4	3	3	7	3	2	10
26000000	4	4	5	5	6	3	9
26020000	4	4	4	5	4	2	11
26040000	4	3	3	4	4	2	10
26060000	4	5	4	4	4	2	10
26080000	5	4	2	5	5	3	9
26100000	5	4	2	5	6	3	10
26120000	5	4	3	5	4	2	9
26140000	4	4	2	4	4	2	9
26160000	4	5	2	4	4	2	9
26180000	4	5	2	5	4	4	10
26200000	5	4	4	5	5	3	9
26220000	4	4	3	5	6	3	9
26240000	5	4	3	5	4	3	8
26260000	5	4	2	5	4	3	9
26280000	4	4	4	4	4	2	8
26300000	4	4	2	4	4	3	10
26320000	4	4	3	5	4	3	10
26340000	4	4	3	5	4	2	10
26360000	5	4	2	5	4	2	10
26380000	4	4	3	5	3	2	11
26400000	4	4	3	5	3	2	9
26420000	4	5	4	5	3	2	9
26440000	5	3	3	5	5	4	9
26460000	5	3	3	5	3	4	10
26480000	5	3	3	5	3	2	10
26500000	4	4	3	5	4	3	9
26520000	4	4	4	5	3	2	9
26540000	4	4	3	4	4	2	12
26560000	4	4	3	5	4	2	9
26580000	4	4	4	5	3	4	9
26600000	6	5	4	5	3	2	9
26620000	4	4	4	5	3	2	8
26640000	4	4	4	5	3	3	9
26660000	4	4	3	5	4	5	10
26680000	5	4	6	5	3	2	9
26700000	5	4	4	5	7	3	8
26720000	5	3	3	6	3	2	8
26740000	4	4	4	5	5	3	8
26760000	4	5	3	5	3	4	9
26780000	4	4	8	5	4	2	9
26800000	4	4	5	5	3	2	9
26820000	4	4	4	5	3	2	9
26840000	4	3	4	5	4	2	8
26860000	4	4	4	5	3	2	11
26880000	4	4	4	5	3	2	9
26900000	4	5	4	5	3	2	10
26920000	5	4	5	5	3	2	9
26940000	4	4	4	6	3	3	10
26960000	5	3	3	5	3	3	9
26980000	4	4	4	5	3	2	9
27000000	4	4	4	5	3	4	9
27020000	4	4	3	5	3	3	11
27040000	4	4	3	5	3	2	10
27060000	4	4	3	6	3	2	10
27080000	5	4	3	5	3	2	9
27100000	4	4	4	5	4	3	11
27120000	4	4	3	5	4	4	8
27140000	4	4	4	5	3	3	10
27160000	4	6	4	5	3	3	9
27180000	5	4	3	5	4	2	10
27200000	5	4	3	5	5	2	9
27220000	4	4	3	5	3	2	8
27240000	5	3	4	5	5	2	8
27260000	5	4	7	5	3	3	8
27280000	5	4	4	5	3	3	8
27300000	4	4	3	5	3	3	8
27320000	5	3	4	5	3	2	9
27340000	4	4	7	5	3	2	8
27360000	4	3	3	5	3	2	9
27380000	5	4	4	5	3	3	9
27400000	4	4	4	5	3	2	11
27420000	4	4	7	5	3	2	10
27440000	4	4	3	5	3	2	9
27460000	4	4	5	5	3	3	9
27480000	4	4	4	6	3	3	11
27500000	5	4	7	5	3	2	10
27520000	4	4	4	5	3	2	9
27540000	4	4	3	5	6	2	9
27560000	4	4	7	5	4	2	10
27580000	4	4	4	5	3	2	9
27600000	4	4	3	5	3	4	9
27620000	4	3	5	5	4	2	8
27640000	4	4	3	5	3	3	8
27660000	4	4	3	5	4	3	9
27680000	4	5	4	5	6	2	8
27700000	4	4	4	5	4	3	8
27720000	4	4	4	7	3	3	9
27740000	4	5	3	5	3	3	9
27760000	4	4	4	6	4	3	10
27780000	4	4	6	5	3	2	8
27800000	4	4	7	5	4	2	9
27820000	5	4	5	5	3	3	9
27840000	5	4	4	5	3	3	8
27860000	5	4	3	5	4	2	8
27880000	5	4	4	5	3	3	10
27900000	4	4	4	4	3	2	10
27920000	4	4	3	5	3	2	9
27940000	4	4	3	5	3	3	9
