states	PB1	PB2	PA	NP	NA	MP	NS
24400000	2	2	2	6	4	1	6
24420000	2	3	2	4	4	2	5
24440000	2	1	3	5	4	1	5
24460000	2	1	2	6	3	1	5
24480000	2	1	2	5	4	1	5
24500000	2	1	2	5	4	1	5
24520000	2	1	2	5	3	1	6
24540000	2	1	2	5	3	1	5
24560000	2	1	1	5	3	1	5
24580000	2	1	2	5	4	1	5
24600000	2	1	2	5	4	1	7
24620000	2	1	2	5	3	1	6
24640000	2	1	2	5	3	1	5
24660000	2	1	2	5	3	1	5
24680000	2	1	1	5	3	1	6
24700000	2	1	2	6	4	2	5
24720000	2	1	1	5	3	1	6
24740000	2	1	2	5	4	1	7
24760000	2	1	1	5	4	1	6
24780000	2	1	1	4	4	1	5
24800000	2	1	2	5	4	1	5
24820000	2	1	2	5	3	1	5
24840000	2	1	2	5	3	1	6
24860000	2	1	1	5	3	1	5
24880000	2	1	1	5	3	1	5
24900000	2	2	2	5	3	1	7
24920000	2	2	2	6	3	1	5
24940000	2	1	1	5	3	1	6
24960000	2	1	2	6	3	1	6
24980000	2	1	2	7	5	1	5
25000000	2	2	1	4	5	2	6
25020000	2	1	2	5	3	1	5
25040000	2	1	2	7	3	1	5
25060000	2	1	2	5	3	1	6
25080000	2	1	2	7	3	2	5
25100000	2	1	2	4	3	1	5
25120000	2	1	2	4	4	1	7
25140000	2	1	2	4	3	1	5
25160000	2	1	2	4	4	1	5
25180000	2	1	2	4	3	1	7
25200000	2	3	2	5	4	1	6
25220000	2	2	2	4	3	2	6
25240000	2	3	2	4	3	1	7
25260000	2	1	1	6	3	2	5
25280000	2	1	2	6	4	2	5
25300000	2	1	3	5	3	1	5
25320000	2	1	2	5	3	1	5
25340000	2	1	2	5	3	1	5
25360000	2	2	2	6	3	1	5
25380000	2	1	2	7	3	1	10
25400000	2	1	2	5	4	1	6
25420000	2	1	2	5	3	1	5
25440000	2	1	1	5	3	1	6
25460000	2	1	2	5	5	1	8
25480000	2	1	1	5	3	1	5
25500000	2	1	1	5	3	2	5
25520000	2	1	2	8	3	1	6
25540000	2	1	2	5	3	1	5
25560000	2	2	2	4	4	2	5
25580000	2	1	1	5	3	1	8
25600000	2	1	2	5	3	2	5
25620000	2	1	2	5	3	1	7
25640000	2	1	2	5	4	1	5
25660000	2	1	2	7	5	1	7
25680000	2	1	2	5	4	1	5
25700000	2	1	2	6	3	1	5
25720000	2	1	2	8	4	1	5
25740000	2	1	1	4	3	1	5
25760000	2	1	2	7	5	1	5
25780000	2	1	2	4	5	4	6
25800000	2	1	2	4	3	1	5
25820000	2	1	2	5	3	1	5
25840000	2	1	2	4	3	1	6
25860000	2	1	2	4	4	1	5
25880000	2	1	2	4	4	1	5
25900000	2	1	2	4	4	1	6
25920000	2	1	2	6	4	1	5
25940000	2	1	2	5	3	1	5
25960000	2	1	2	4	4	1	7
25980000	2	1	1	4	3	4	6
26000000	2	1	2	7	3	1	5
26020000	2	1	1	5	4	1	5
26040000	2	1	2	6	3	1	5
26060000	2	2	2	5	4	1	6
26080000	2	1	2	5	3	1	5
26100000	2	1	2	5	3	1	5
26120000	2	1	2	5	3	1	5
26140000	2	1	2	5	4	2	5
26160000	3	1	2	5	3	1	5
26180000	2	2	2	5	3	1	6
26200000	2	1	3	5	3	1	5
26220000	2	1	2	5	3	1	5
26240000	2	1	2	5	3	1	5
26260000	2	2	3	6	3	4	5
26280000	2	1	1	5	3	1	6
26300000	2	1	1	7	3	1	5
26320000	2	1	3	8	4	1	5
26340000	2	1	2	4	4	1	6
26360000	2	2	2	5	3	1	5
26380000	2	1	2	5	3	1	5
26400000	2	3	2	6	3	1	5
26420000	2	1	2	5	3	1	5
26440000	2	1	2	4	3	1	6
26460000	2	1	2	4	4	1	5
26480000	2	1	2	6	3	1	5
26500000	2	1	2	6	4	1	5
26520000	2	1	1	4	3	1	5
26540000	2	1	2	5	3	1	5
26560000	2	2	2	5	3	1	8
26580000	2	1	2	6	4	1	5
26600000	2	1	2	4	3	1	5
26620000	2	1	2	6	3	1	5
26640000	2	2	2	4	4	2	5
26660000	2	1	2	6	3	2	6
26680000	2	1	2	5	3	1	5
26700000	2	1	2	5	3	1	5
26720000	2	1	2	5	3	1	5
26740000	2	1	2	5	4	1	6
26760000	2	3	2	5	3	1	5
26780000	2	1	3	5	4	1	5
26800000	2	1	1	4	3	1	5
26820000	2	1	2	4	3	1	6
26840000	2	1	2	7	3	1	5
26860000	2	1	2	8	3	1	6
26880000	2	1	2	5	3	1	5
26900000	2	1	2	5	4	1	5
26920000	2	1	2	6	3	1	5
26940000	2	3	2	4	3	1	6
26960000	2	1	2	7	3	1	5
26980000	2	1	2	4	3	1	6
27000000	2	1	1	5	3	1	5
27020000	2	1	2	4	3	1	7
27040000	2	1	3	4	4	2	5
27060000	2	3	2	5	3	1	5
27080000	2	1	2	6	3	3	5
27100000	2	1	1	4	4	1	5
27120000	2	2	1	6	3	1	5
27140000	2	1	2	4	4	1	5
27160000	2	1	1	5	3	1	6
27180000	2	1	1	7	3	1	5
27200000	2	1	2	5	4	1	5
27220000	2	1	1	6	3	1	5
27240000	2	1	2	6	3	1	5
27260000	2	1	2	6	3	1	5
27280000	2	1	2	6	3	1	5
27300000	2	1	1	5	3	1	6
27320000	2	1	2	6	4	1	6
27340000	2	1	2	4	3	1	6
27360000	2	1	3	5	3	1	6
27380000	2	1	3	4	3	1	6
27400000	2	1	2	6	3	1	5
27420000	2	1	1	6	6	1	5
27440000	2	2	1	5	3	1	5
27460000	2	1	2	6	3	1	6
27480000	2	2	2	5	3	2	5
27500000	2	1	1	5	3	1	5
27520000	2	1	1	6	3	1	5
27540000	2	1	1	6	3	1	6
27560000	2	1	1	4	4	1	5
27580000	2	1	2	4	4	1	5
27600000	2	1	2	4	4	2	6
27620000	2	1	2	5	3	1	5
27640000	2	1	2	5	3	1	6
27660000	2	1	2	5	3	1	5
27680000	2	1	2	5	3	1	5
27700000	2	1	2	6	3	1	7
27720000	3	2	2	7	3	1	5
27740000	2	1	2	7	3	1	5
27760000	2	1	1	6	3	1	6
27780000	2	1	2	5	3	1	6
27800000	2	1	2	5	3	1	6
27820000	2	1	2	4	3	1	5
27840000	2	1	2	5	3	1	5
27860000	2	1	2	5	4	1	5
27880000	2	1	1	5	4	1	7
27900000	3	2	2	5	3	1	7
27920000	2	1	2	5	3	1	6
27940000	2	1	2	4	3	1	5
27960000	2	1	3	5	3	1	6
27980000	2	1	3	5	3	1	6
28000000	2	1	2	5	3	1	5
28020000	2	1	1	6	3	1	5
28040000	2	1	2	5	3	1	5
28060000	2	1	2	5	4	1	6
28080000	2	1	3	5	3	1	5
28100000	2	1	2	8	3	1	5
28120000	2	1	2	5	4	1	5
28140000	2	1	3	6	3	1	5
28160000	2	1	2	5	3	1	5
28180000	2	1	2	8	3	2	6
28200000	3	1	2	5	3	1	5
28220000	2	1	2	5	3	1	5
28240000	2	1	2	9	4	1	6
28260000	2	1	2	5	3	1	5
28280000	2	1	2	5	3	1	6
28300000	2	1	1	5	3	1	5
28320000	2	1	2	4	3	1	5
28340000	3	2	1	4	3	1	6
28360000	2	1	2	4	3	1	7
28380000	2	1	2	5	4	1	5
28400000	2	1	2	5	4	1	7
28420000	3	1	2	6	4	1	5
28440000	2	1	1	5	4	1	6
28460000	2	1	2	6	4	2	6
28480000	2	1	1	5	4	1	5
28500000	2	1	2	8	4	1	5
28520000	2	1	2	4	3	1	5
28540000	2	2	1	8	3	1	5
28560000	2	1	2	7	3	1	5
28580000	2	1	2	5	5	1	5
28600000	2	1	2	5	3	1	6
28620000	2	1	2	4	3	1	6
28640000	2	1	2	5	3	1	7
28660000	2	1	1	5	3	1	7
28680000	2	1	2	5	4	1	5
28700000	2	1	2	4	4	1	5
28720000	2	1	2	4	3	1	5
28740000	2	1	1	5	3	1	5
28760000	2	1	3	5	4	1	7
28780000	2	1	1	4	3	1	5
28800000	2	1	2	4	4	1	5
28820000	2	1	2	4	4	1	5
28840000	2	1	2	4	4	1	5
28860000	2	2	2	6	4	1	5
28880000	2	1	2	4	4	2	6
28900000	2	1	2	8	4	1	5
28920000	2	1	2	8	3	1	6
28940000	3	1	2	6	4	1	5
28960000	2	1	2	4	4	1	6
28980000	2	1	2	4	4	1	5
29000000	2	1	2	4	3	1	5
29020000	2	1	2	8	4	1	5
29040000	2	1	2	6	4	1	7
29060000	2	2	1	7	4	2	5
29080000	2	1	2	4	4	1	5
29100000	2	3	2	6	4	2	6
29120000	2	3	2	6	3	2	5
29140000	2	1	1	4	3	1	6
29160000	2	1	2	6	3	1	6
29180000	2	1	2	5	4	2	6
29200000	2	2	2	5	3	1	5
29220000	2	2	2	6	4	1	5
29240000	2	1	2	4	4	1	6
29260000	2	1	3	4	3	1	5
29280000	2	2	2	4	4	1	7
29300000	2	1	2	6	5	2	8
29320000	2	1	2	6	3	1	5
29340000	2	1	2	6	4	2	9
29360000	2	1	2	7	3	1	6
29380000	2	1	2	5	3	1	6
29400000	2	1	2	5	3	1	5
29420000	2	1	2	5	5	1	6
29440000	2	1	2	6	4	1	5
29460000	2	1	2	6	3	1	6
29480000	2	2	1	5	4	2	5
29500000	2	1	2	5	5	1	5
29520000	2	1	2	5	3	1	6
29540000	2	2	2	4	4	4	6
29560000	2	1	2	4	4	1	5
29580000	2	1	2	5	4	1	5
29600000	2	2	2	6	4	2	5
29620000	2	1	2	4	3	1	5
29640000	2	2	1	5	3	1	5
29660000	2	1	2	5	3	1	5
29680000	2	1	2	5	3	1	6
29700000	2	2	2	6	3	1	6
29720000	2	1	2	5	3	1	5
29740000	2	2	3	8	4	1	5
29760000	2	2	2	7	4	1	6
29780000	2	1	2	6	4	1	5
29800000	2	1	2	6	4	1	6
29820000	2	1	1	6	4	1	5
29840000	2	1	2	6	3	1	5
29860000	2	1	2	6	4	1	6
29880000	2	1	2	5	3	1	6
29900000	2	1	5	7	4	1	6
29920000	2	2	2	4	3	1	5
29940000	2	1	2	5	3	1	5
29960000	2	1	1	5	3	2	6
29980000	2	2	1	4	3	1	7
30000000	2	1	3	5	3	1	5
30020000	2	1	2	5	3	1	7
30040000	2	1	2	5	3	1	6
30060000	2	1	2	5	4	2	6
30080000	2	1	2	5	3	1	5
30100000	2	1	2	6	3	1	6
30120000	2	1	2	6	3	1	7
30140000	2	2	2	5	3	1	5
30160000	2	1	2	5	4	1	5
30180000	2	2	2	4	3	2	6
30200000	2	1	2	5	3	1	5
30220000	2	1	2	4	4	1	5
30240000	2	3	2	6	4	2	5
30260000	3	1	2	5	3	2	5
30280000	2	1	2	5	3	1	6
30300000	2	1	2	5	3	1	5
30320000	2	1	2	5	3	1	5
30340000	2	1	2	4	3	1	7
30360000	2	2	2	4	4	1	7
30380000	2	1	2	4	4	1	5
30400000	2	3	2	6	4	1	5
30420000	2	1	2	5	3	1	5
30440000	2	1	2	5	3	1	5
30460000	2	2	2	5	3	2	6
30480000	2	1	2	4	4	1	5
30500000	2	1	2	6	3	1	6
30520000	2	1	2	5	3	1	5
30540000	2	1	1	5	3	1	6
30560000	2	1	1	4	3	1	6
30580000	2	1	2	5	3	1	5
30600000	2	1	2	7	4	2	5
30620000	2	1	1	5	3	1	5
30640000	3	1	2	4	5	1	5
30660000	2	1	1	4	3	2	5
30680000	2	1	2	5	4	1	6
30700000	2	3	1	4	3	2	5
30720000	2	1	2	4	3	1	6
30740000	2	2	2	4	3	1	6
30760000	2	1	2	5	3	1	6
30780000	2	1	1	7	4	1	6
30800000	2	1	2	5	3	2	5
30820000	2	1	3	6	4	1	6
30840000	2	1	2	5	3	1	5
30860000	2	2	2	7	3	1	5
30880000	2	1	1	4	3	2	7
30900000	2	1	2	6	3	1	5
30920000	2	1	2	6	3	1	6
30940000	2	2	2	4	3	1	5
30960000	2	1	2	4	3	1	5
30980000	2	1	2	4	4	1	5
31000000	2	2	2	6	3	1	5
31020000	2	1	2	4	3	1	5
31040000	2	1	2	5	3	1	7
31060000	2	1	2	5	4	1	5
31080000	2	1	2	4	3	1	5
31100000	2	1	2	6	3	1	8
31120000	2	1	2	7	3	1	6
31140000	2	2	2	7	3	1	5
31160000	2	1	1	5	3	2	5
31180000	2	1	2	6	3	1	5
31200000	2	1	2	5	3	1	5
31220000	2	1	1	5	4	1	7
31240000	3	1	2	5	5	1	6
31260000	2	1	1	4	3	1	5
31280000	2	1	1	5	3	1	5
31300000	2	2	2	6	3	1	5
31320000	2	3	1	5	3	1	6
31340000	2	1	2	5	3	1	6
31360000	2	1	1	5	3	1	5
31380000	2	1	2	5	3	1	5
31400000	2	1	2	5	3	1	5
31420000	2	1	2	5	3	1	5
31440000	2	2	2	4	4	1	5
31460000	2	1	1	5	4	1	5
31480000	2	1	2	5	3	1	5
31500000	2	1	2	5	3	1	5
31520000	2	1	3	4	3	1	6
31540000	2	1	2	5	4	1	6
31560000	2	1	2	5	3	1	5
31580000	2	1	2	5	3	1	5
31600000	2	1	2	5	3	1	5
31620000	2	1	2	5	3	1	6
31640000	2	1	2	5	6	2	6
31660000	2	1	2	5	3	1	6
31680000	2	1	1	5	3	1	5
31700000	2	1	2	5	4	1	6
31720000	2	1	2	5	3	1	6
31740000	2	1	2	4	3	1	5
31760000	2	1	2	6	4	1	6
31780000	3	2	1	4	3	1	5
31800000	2	1	1	5	3	1	7
31820000	2	1	2	5	3	1	7
31840000	3	1	2	4	4	1	6
31860000	2	1	2	5	4	1	5
31880000	2	2	2	6	4	1	8
31900000	2	1	2	5	3	1	6
31920000	2	1	2	5	4	1	5
31940000	2	1	2	5	3	1	5
31960000	2	1	2	5	4	1	5
31980000	2	1	2	6	4	1	5
32000000	2	3	1	5	3	1	6
32020000	2	1	1	4	3	1	5
32040000	2	1	2	4	4	1	6
32060000	2	1	1	5	3	1	5
32080000	2	1	1	6	4	1	5
32100000	2	1	2	5	4	1	5
32120000	2	1	2	5	4	1	5
32140000	2	1	2	5	3	1	5
32160000	2	1	2	5	3	1	5
32180000	2	1	2	5	4	2	5
32200000	2	1	2	4	3	1	6
32220000	2	1	2	6	3	1	5
32240000	2	1	2	5	5	1	5
32260000	2	2	2	5	3	1	5
32280000	2	1	2	6	3	1	5
32300000	2	1	1	5	4	1	5
32320000	2	2	2	4	3	1	5
32340000	2	3	2	4	4	1	5
32360000	2	1	2	5	3	2	5
32380000	2	1	1	4	5	1	5
32400000	2	1	2	5	4	1	5
32420000	2	1	2	5	4	2	7
32440000	2	1	1	6	4	1	5
32460000	3	2	2	5	3	1	5
32480000	2	1	2	5	4	1	6
32500000	2	1	1	4	4	1	6
32520000	2	1	2	5	4	1	6
32540000	2	3	2	6	3	1	5
32560000	2	2	2	5	4	1	5
32580000	2	2	2	5	4	1	5
32600000	2	2	2	7	4	2	6
32620000	2	1	2	5	4	1	5
32640000	2	1	2	5	4	1	5
32660000	2	1	2	5	3	1	5
32680000	2	1	2	7	3	1	6
32700000	2	1	1	4	3	1	8
32720000	2	1	2	4	4	1	5
32740000	2	1	2	5	3	1	5
32760000	2	1	2	4	4	1	6
32780000	2	1	3	6	4	1	5
32800000	2	2	2	5	4	1	6
32820000	2	1	1	4	4	1	5
32840000	2	1	2	4	4	1	6
32860000	2	1	2	5	4	1	8
32880000	2	1	2	4	3	1	5
32900000	2	1	2	4	3	1	6
32920000	3	1	1	4	4	1	5
32940000	2	1	2	5	3	1	5
32960000	2	2	2	4	5	1	5
32980000	2	3	2	5	3	1	5
33000000	2	1	2	5	3	1	5
33020000	2	1	2	5	3	1	5
33040000	2	1	2	4	4	1	5
33060000	2	1	2	5	4	1	5
33080000	2	1	2	5	3	1	6
33100000	2	1	2	4	3	1	6
33120000	2	1	2	5	4	1	5
33140000	2	1	1	5	3	2	5
33160000	3	2	2	5	4	1	5
33180000	2	1	2	5	3	1	6
33200000	2	2	2	7	4	1	5
33220000	2	1	2	5	3	1	5
33240000	2	1	1	4	4	2	5
33260000	2	2	2	4	4	2	6
33280000	2	1	3	6	3	1	6
33300000	2	1	2	5	3	1	5
33320000	2	1	2	6	4	1	5
33340000	2	1	2	4	3	1	6
33360000	2	2	2	4	4	3	5
33380000	3	1	2	5	4	1	5
33400000	2	1	2	5	5	1	5
33420000	2	1	2	4	4	1	6
33440000	2	1	2	8	3	1	5
33460000	2	1	2	5	3	1	5
33480000	2	1	2	4	4	1	5
33500000	2	1	2	6	4	1	7
33520000	2	1	2	6	3	1	5
33540000	2	1	2	5	3	1	7
33560000	2	2	2	7	3	1	6
33580000	2	1	2	5	3	1	7
33600000	2	2	2	5	4	1	5
33620000	2	1	2	5	4	1	6
33640000	2	1	2	7	4	1	5
33660000	2	1	2	4	4	2	5
33680000	2	1	1	5	3	1	5
33700000	2	1	2	5	3	1	7
33720000	2	1	2	4	3	1	5
33740000	2	2	2	5	3	1	6
33760000	2	1	2	5	3	1	5
33780000	3	1	2	9	3	2	5
33800000	2	1	2	5	4	1	6
33820000	2	1	1	5	4	1	5
33840000	2	1	2	5	4	2	5
33860000	2	3	2	6	3	1	8
33880000	2	1	2	6	3	1	6
33900000	2	1	2	4	3	1	5
33920000	3	1	2	4	4	1	6
33940000	2	1	2	5	4	1	5
33960000	2	1	2	8	4	1	7
33980000	2	1	5	5	4	1	5
34000000	2	2	2	6	3	1	6
34020000	2	1	1	5	3	1	5
34040000	2	1	2	6	4	1	6
34060000	2	1	4	4	4	1	6
34080000	2	2	2	5	3	1	5
34100000	2	1	1	4	4	1	5
34120000	2	1	2	5	4	1	5
34140000	2	1	2	5	4	1	5
34160000	2	1	2	5	3	1	5
34180000	2	1	2	6	3	1	5
34200000	2	1	1	5	3	1	5
34220000	2	1	2	4	3	1	5
34240000	2	1	1	5	4	1	5
34260000	2	2	2	5	4	1	6
34280000	2	3	2	6	3	1	5
34300000	2	1	2	6	3	1	7
34320000	2	2	2	5	3	1	5
34340000	2	1	2	5	3	1	6
34360000	2	1	2	5	4	1	6
34380000	2	2	1	5	4	2	5
34400000	2	2	2	5	3	1	7
34420000	2	1	2	5	4	1	8
34440000	2	1	2	5	4	1	5
34460000	2	1	3	5	3	1	5
34480000	2	1	2	4	3	1	5
34500000	2	1	1	5	3	1	5
34520000	2	1	1	4	4	1	7
34540000	2	1	2	5	3	1	5
34560000	2	1	2	5	4	1	6
34580000	2	1	3	5	3	1	5
34600000	2	1	3	4	3	1	5
34620000	2	2	2	6	4	2	5
34640000	2	3	2	5	4	2	6
34660000	2	1	2	5	3	1	5
34680000	3	1	2	5	3	1	6
34700000	2	1	2	5	3	1	6
34720000	2	1	2	7	4	1	5
34740000	2	2	2	4	4	1	6
34760000	2	1	1	5	3	1	7
34780000	2	1	1	5	3	2	5
34800000	2	1	2	6	4	1	6
34820000	2	1	2	4	4	1	5
34840000	2	2	1	5	4	1	5
34860000	2	2	2	5	3	2	6
34880000	2	1	2	4	4	1	5
34900000	2	1	2	5	3	1	5
34920000	2	1	2	5	3	1	7
34940000	2	1	2	4	3	1	5
34960000	2	1	1	5	3	1	5
34980000	2	1	2	5	3	1	7
35000000	2	2	3	4	3	1	5
35020000	2	1	2	5	3	1	7
35040000	2	1	2	5	4	1	6
35060000	2	1	2	6	5	1	5
35080000	2	1	2	5	3	1	6
35100000	3	1	2	6	3	1	5
35120000	2	1	2	6	4	1	7
35140000	2	1	1	5	3	1	5
35160000	2	1	2	7	4	1	5
35180000	2	1	2	5	3	1	5
35200000	2	1	1	4	3	2	6
35220000	2	1	2	4	3	1	6
35240000	2	1	2	5	3	1	5
35260000	2	3	2	5	4	1	5
35280000	2	1	2	5	4	1	6
35300000	2	1	2	7	4	1	7
35320000	2	1	2	7	3	1	5
35340000	3	1	2	5	4	2	5
35360000	2	1	3	7	3	1	6
35380000	2	1	1	4	4	1	5
35400000	2	1	1	6	4	1	5
35420000	2	3	2	7	5	1	5
35440000	2	1	3	5	6	1	5
35460000	2	1	2	5	3	1	5
35480000	2	1	2	5	3	1	5
