states	PB1	PB2	PA	HA	NP	MP	NS
25660000	4	2	5	6	7	3	5
25680000	4	2	4	6	5	3	5
25700000	4	2	5	6	7	3	6
25720000	4	2	5	5	7	3	5
25740000	4	2	5	6	6	3	6
25760000	4	2	5	5	8	3	5
25780000	4	2	6	8	7	3	5
25800000	4	2	5	6	7	3	5
25820000	4	4	5	5	7	3	6
25840000	4	2	4	4	7	3	7
25860000	4	2	5	5	6	3	5
25880000	4	2	5	5	6	3	5
25900000	4	2	5	6	7	4	6
25920000	4	2	5	5	7	3	5
25940000	4	2	4	4	7	3	6
25960000	4	2	4	4	6	3	6
25980000	4	2	5	6	6	5	5
26000000	4	2	5	5	6	4	6
26020000	4	2	5	7	6	3	8
26040000	4	2	5	6	6	3	5
26060000	4	2	5	6	6	3	5
26080000	4	2	4	6	7	3	6
26100000	4	2	6	6	7	3	6
26120000	4	2	5	6	7	5	5
26140000	4	2	4	5	7	3	6
26160000	5	2	5	6	6	3	5
26180000	4	2	5	6	7	3	6
26200000	4	2	4	7	6	3	6
26220000	4	2	5	5	6	3	4
26240000	4	2	5	5	6	3	5
26260000	4	2	5	5	6	3	7
26280000	4	2	6	5	5	3	5
26300000	4	2	5	6	7	3	5
26320000	4	2	5	6	7	3	6
26340000	4	2	5	5	7	3	5
26360000	4	2	4	6	7	4	5
26380000	4	2	4	5	9	3	6
26400000	4	2	5	5	8	3	5
26420000	4	2	5	5	8	3	5
26440000	4	2	6	6	7	3	5
26460000	4	2	4	5	7	3	5
26480000	4	2	5	5	7	3	5
26500000	4	2	5	6	7	3	5
26520000	4	2	5	6	6	3	6
26540000	4	2	5	6	8	3	6
26560000	4	2	5	6	6	3	5
26580000	4	2	5	5	8	3	7
26600000	4	3	5	5	7	3	5
26620000	4	2	5	5	8	3	5
26640000	4	2	5	7	5	3	5
26660000	4	2	5	6	8	4	5
26680000	4	2	4	5	9	6	5
26700000	4	2	5	5	7	3	5
26720000	4	2	8	8	7	3	5
26740000	4	2	5	6	6	3	5
26760000	4	2	5	6	7	3	5
26780000	4	2	4	5	6	3	6
26800000	4	2	5	6	6	3	6
26820000	4	2	5	6	7	3	5
26840000	5	2	5	5	7	3	5
26860000	4	2	5	5	8	3	5
26880000	4	3	5	5	7	3	5
26900000	4	2	4	5	7	3	5
26920000	4	2	5	5	7	3	6
26940000	4	2	4	5	8	3	5
26960000	4	2	6	5	6	3	5
26980000	4	2	5	5	7	3	5
27000000	4	2	5	6	9	4	5
27020000	4	2	5	6	7	3	5
27040000	4	2	5	6	7	3	6
27060000	4	2	5	6	7	3	6
27080000	4	2	5	5	9	3	6
27100000	4	2	7	6	6	3	6
27120000	5	2	5	5	7	3	5
27140000	4	2	4	6	8	3	5
27160000	3	2	5	5	7	3	5
27180000	4	2	4	4	7	3	6
27200000	4	2	4	4	7	3	6
27220000	4	2	5	6	7	3	5
27240000	4	2	5	5	7	3	5
27260000	4	2	4	5	7	3	6
27280000	4	2	5	6	7	3	5
27300000	4	2	6	6	6	3	5
27320000	4	2	4	6	8	3	5
27340000	4	2	5	7	7	3	5
27360000	4	2	5	5	7	3	7
27380000	4	2	5	6	6	3	5
27400000	4	2	5	6	7	3	5
27420000	4	2	5	5	7	3	5
27440000	4	2	5	5	7	3	5
27460000	4	2	5	5	6	3	6
27480000	4	2	6	6	5	3	5
27500000	4	2	5	6	6	3	6
27520000	4	2	5	5	5	3	5
27540000	4	2	5	5	5	3	6
27560000	4	2	5	5	6	3	5
27580000	4	2	5	7	7	3	6
27600000	4	2	5	5	7	3	5
27620000	4	2	4	6	7	3	5
27640000	4	2	5	6	6	3	5
27660000	4	2	5	6	6	3	6
27680000	4	2	5	6	6	3	5
27700000	4	2	5	6	6	3	5
27720000	4	2	6	7	5	4	6
27740000	4	2	5	5	5	3	6
27760000	4	2	5	5	7	3	5
27780000	4	2	5	5	6	3	5
27800000	4	2	5	4	6	3	6
27820000	4	2	5	5	7	3	6
27840000	4	2	4	6	6	3	5
27860000	4	2	4	4	6	3	6
27880000	4	2	4	4	6	3	6
27900000	4	2	5	6	7	3	7
27920000	4	2	5	5	7	3	6
27940000	4	2	5	5	7	3	5
27960000	4	2	4	7	7	3	5
27980000	4	2	5	5	8	3	5
28000000	4	2	8	6	9	3	6
28020000	4	2	5	5	7	3	6
28040000	4	2	6	6	7	3	6
28060000	4	4	5	5	7	3	6
28080000	4	2	7	5	7	3	5
28100000	4	2	5	6	8	3	5
28120000	4	2	4	6	6	3	6
28140000	4	2	5	5	7	3	5
28160000	4	2	5	6	8	3	5
28180000	4	2	5	5	7	3	6
28200000	4	2	4	5	7	3	5
28220000	4	2	5	5	7	3	5
28240000	4	2	4	4	6	3	6
28260000	4	2	5	5	6	3	5
28280000	4	2	3	4	7	3	6
28300000	4	2	5	5	7	3	5
28320000	4	2	5	5	6	3	5
28340000	4	2	6	5	7	3	5
28360000	4	2	5	6	8	3	6
28380000	4	2	5	5	7	3	5
28400000	4	2	5	5	6	3	5
28420000	4	2	5	5	5	3	5
28440000	4	2	5	5	6	3	6
28460000	4	2	6	7	5	3	6
28480000	4	2	5	5	5	3	5
28500000	4	2	5	5	6	3	5
28520000	4	2	5	5	7	3	6
28540000	4	3	5	6	8	3	5
28560000	4	2	5	5	6	3	5
28580000	4	2	5	5	7	3	5
28600000	4	2	5	5	6	3	6
28620000	4	2	8	5	6	3	5
28640000	4	2	6	6	8	3	6
28660000	4	2	5	5	7	5	5
28680000	4	2	5	5	6	3	6
28700000	4	2	4	7	6	3	5
28720000	4	2	5	5	7	3	5
28740000	4	2	5	5	6	3	5
28760000	4	2	5	5	5	4	5
28780000	4	2	5	7	6	3	6
28800000	4	2	5	5	5	3	6
28820000	4	2	5	5	5	3	5
28840000	4	3	5	5	7	3	6
28860000	4	2	4	4	8	3	6
28880000	4	2	5	5	7	3	5
28900000	4	2	5	5	7	3	5
28920000	3	2	5	4	6	4	5
28940000	4	2	5	5	7	3	5
28960000	4	2	5	5	6	3	5
28980000	4	2	5	5	7	3	5
29000000	4	2	5	5	7	3	5
29020000	4	2	5	7	7	3	6
29040000	4	2	5	5	6	3	5
29060000	4	2	5	5	7	3	6
29080000	4	2	7	5	6	3	5
29100000	4	2	4	4	6	3	6
