We acknowledge the authors, originating and submitting laboratories of the sequences from GISAID’s EpiFlu™ Database on which this research is based. The list is detailed below.							
All submitters of data may be contacted directly via the GISAID website www.gisaid.org							
Segment ID	Segment	Country	Collection date	Isolate name	Originating Lab	Submitting Lab	Authors
EPI361191	NP	United States	2011-Mar-18	B/Boston/DB02/2011		Other Database Import	Wentworth,D.E.; Dugan,V.; Halpin,R.; Lin,X.; Bera,J.; Ghedin,E.; Hostetler,J.; Fedorova,N.; Overton,L.; Tsitrin,T.; Stockwell,T.; Katzel,D.; Li,K.; Amedeo,P.; Schobel,S.; Shrivastava,S.; Wang,S.; Thovarai,V.; Bishop,B.; Edworthy,P.; Kim,M.; Donnino,M.; Co
EPI361192	PA	United States	2011-Mar-18	B/Boston/DB02/2011		Other Database Import	Wentworth,D.E.; Dugan,V.; Halpin,R.; Lin,X.; Bera,J.; Ghedin,E.; Hostetler,J.; Fedorova,N.; Overton,L.; Tsitrin,T.; Stockwell,T.; Katzel,D.; Li,K.; Amedeo,P.; Schobel,S.; Shrivastava,S.; Wang,S.; Thovarai,V.; Bishop,B.; Edworthy,P.; Kim,M.; Donnino,M.; Co
EPI361193	PB2	United States	2011-Mar-18	B/Boston/DB02/2011		Other Database Import	Wentworth,D.E.; Dugan,V.; Halpin,R.; Lin,X.; Bera,J.; Ghedin,E.; Hostetler,J.; Fedorova,N.; Overton,L.; Tsitrin,T.; Stockwell,T.; Katzel,D.; Li,K.; Amedeo,P.; Schobel,S.; Shrivastava,S.; Wang,S.; Thovarai,V.; Bishop,B.; Edworthy,P.; Kim,M.; Donnino,M.; Co
EPI358184	NP	Guatemala	2012-Feb-19	B/Guatemala/52/2012	Laboratorio Nacional De Salud Guatemala	Centers for Disease Control and Prevention	
EPI358185	NS	Guatemala	2012-Feb-19	B/Guatemala/52/2012	Laboratorio Nacional De Salud Guatemala	Centers for Disease Control and Prevention	
EPI358186	MP	Guatemala	2012-Feb-19	B/Guatemala/52/2012	Laboratorio Nacional De Salud Guatemala	Centers for Disease Control and Prevention	
EPI358187	PA	Guatemala	2012-Feb-19	B/Guatemala/52/2012	Laboratorio Nacional De Salud Guatemala	Centers for Disease Control and Prevention	
EPI358188	PB2	Guatemala	2012-Feb-19	B/Guatemala/52/2012	Laboratorio Nacional De Salud Guatemala	Centers for Disease Control and Prevention	
EPI358189	PB1	Guatemala	2012-Feb-19	B/Guatemala/52/2012	Laboratorio Nacional De Salud Guatemala	Centers for Disease Control and Prevention	
EPI358190	NA	Guatemala	2012-Feb-19	B/Guatemala/52/2012	Laboratorio Nacional De Salud Guatemala	Centers for Disease Control and Prevention	
EPI358191	HA	Guatemala	2012-Feb-19	B/Guatemala/52/2012	Laboratorio Nacional De Salud Guatemala	Centers for Disease Control and Prevention	
