We acknowledge the authors, originating and submitting laboratories of the sequences from GISAID’s EpiFlu™ Database on which this research is based. The list is detailed below.							
All submitters of data may be contacted directly via the GISAID website www.gisaid.org							
Segment ID	Segment	Country	Collection date	Isolate name	Originating Lab	Submitting Lab	Authors
EPI330838	PB2	China	2011-May-10	B/Anhui-Huashan/1216/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330839	PB1	China	2011-May-10	B/Anhui-Huashan/1216/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330840	NA	China	2011-May-10	B/Anhui-Huashan/1216/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330841	HA	China	2011-May-10	B/Anhui-Huashan/1216/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330835	NS	China	2011-May-10	B/Anhui-Huashan/1216/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330836	MP	China	2011-May-10	B/Anhui-Huashan/1216/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330832	NA	China	2011-May-03	B/Guangdong-Chikan/1155/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330833	HA	China	2011-May-03	B/Guangdong-Chikan/1155/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330826	NP	China	2011-May-03	B/Guangdong-Chikan/1155/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330829	PA	China	2011-May-03	B/Guangdong-Chikan/1155/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330830	PB2	China	2011-May-03	B/Guangdong-Chikan/1155/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330831	PB1	China	2011-May-03	B/Guangdong-Chikan/1155/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330827	NS	China	2011-May-03	B/Guangdong-Chikan/1155/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330828	MP	China	2011-May-03	B/Guangdong-Chikan/1155/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330818	NP	China	2011-May-04	B/Sichuan-Wenjiang/279/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330821	PA	China	2011-May-04	B/Sichuan-Wenjiang/279/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330822	PB2	China	2011-May-04	B/Sichuan-Wenjiang/279/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330823	PB1	China	2011-May-04	B/Sichuan-Wenjiang/279/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330824	NA	China	2011-May-04	B/Sichuan-Wenjiang/279/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330825	HA	China	2011-May-04	B/Sichuan-Wenjiang/279/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330819	NS	China	2011-May-04	B/Sichuan-Wenjiang/279/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330820	MP	China	2011-May-04	B/Sichuan-Wenjiang/279/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330810	NP	China	2011-May-03	B/Anhui-Luyang/1142/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330813	PA	China	2011-May-03	B/Anhui-Luyang/1142/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330814	PB2	China	2011-May-03	B/Anhui-Luyang/1142/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330815	PB1	China	2011-May-03	B/Anhui-Luyang/1142/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330816	NA	China	2011-May-03	B/Anhui-Luyang/1142/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330817	HA	China	2011-May-03	B/Anhui-Luyang/1142/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330811	NS	China	2011-May-03	B/Anhui-Luyang/1142/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330812	MP	China	2011-May-03	B/Anhui-Luyang/1142/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330802	NP	China	2011-May-03	B/Beijing-Xicheng/1875/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330805	PA	China	2011-May-03	B/Beijing-Xicheng/1875/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330806	PB2	China	2011-May-03	B/Beijing-Xicheng/1875/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330807	PB1	China	2011-May-03	B/Beijing-Xicheng/1875/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330808	NA	China	2011-May-03	B/Beijing-Xicheng/1875/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330809	HA	China	2011-May-03	B/Beijing-Xicheng/1875/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330803	NS	China	2011-May-03	B/Beijing-Xicheng/1875/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330804	MP	China	2011-May-03	B/Beijing-Xicheng/1875/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330794	NP	China	2011-May-04	B/Shanghai-Luwan/1217/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330797	PA	China	2011-May-04	B/Shanghai-Luwan/1217/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330798	PB2	China	2011-May-04	B/Shanghai-Luwan/1217/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330799	PB1	China	2011-May-04	B/Shanghai-Luwan/1217/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330800	NA	China	2011-May-04	B/Shanghai-Luwan/1217/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330801	HA	China	2011-May-04	B/Shanghai-Luwan/1217/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330795	NS	China	2011-May-04	B/Shanghai-Luwan/1217/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330796	MP	China	2011-May-04	B/Shanghai-Luwan/1217/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330786	NP	China	2011-May-03	B/Hunan-Yuhua/1265/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330789	PA	China	2011-May-03	B/Hunan-Yuhua/1265/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330790	PB2	China	2011-May-03	B/Hunan-Yuhua/1265/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330791	PB1	China	2011-May-03	B/Hunan-Yuhua/1265/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330792	NA	China	2011-May-03	B/Hunan-Yuhua/1265/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330793	HA	China	2011-May-03	B/Hunan-Yuhua/1265/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330787	NS	China	2011-May-03	B/Hunan-Yuhua/1265/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330788	MP	China	2011-May-03	B/Hunan-Yuhua/1265/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330730	NP	China	2011-May-11	B/Hunan-Lusong/1325/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330733	PA	China	2011-May-11	B/Hunan-Lusong/1325/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330734	PB2	China	2011-May-11	B/Hunan-Lusong/1325/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330735	PB1	China	2011-May-11	B/Hunan-Lusong/1325/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330736	NA	China	2011-May-11	B/Hunan-Lusong/1325/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330737	HA	China	2011-May-11	B/Hunan-Lusong/1325/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330731	NS	China	2011-May-11	B/Hunan-Lusong/1325/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330732	MP	China	2011-May-11	B/Hunan-Lusong/1325/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330728	NA	China	2011-May-06	B/Shanghai-Hongkou/1255/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330729	HA	China	2011-May-06	B/Shanghai-Hongkou/1255/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330722	NP	China	2011-May-06	B/Shanghai-Hongkou/1255/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330725	PA	China	2011-May-06	B/Shanghai-Hongkou/1255/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330726	PB2	China	2011-May-06	B/Shanghai-Hongkou/1255/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330727	PB1	China	2011-May-06	B/Shanghai-Hongkou/1255/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330723	NS	China	2011-May-06	B/Shanghai-Hongkou/1255/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330724	MP	China	2011-May-06	B/Shanghai-Hongkou/1255/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330714	NP	China	2011-Apr-12	B/Tianjin-Binhaixin/1125/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330717	PA	China	2011-Apr-12	B/Tianjin-Binhaixin/1125/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330718	PB2	China	2011-Apr-12	B/Tianjin-Binhaixin/1125/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330719	PB1	China	2011-Apr-12	B/Tianjin-Binhaixin/1125/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330720	NA	China	2011-Apr-12	B/Tianjin-Binhaixin/1125/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330721	HA	China	2011-Apr-12	B/Tianjin-Binhaixin/1125/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330715	NS	China	2011-Apr-12	B/Tianjin-Binhaixin/1125/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330716	MP	China	2011-Apr-12	B/Tianjin-Binhaixin/1125/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330706	NP	China	2011-Apr-11	B/Hunan-Suxian/56/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330709	PA	China	2011-Apr-11	B/Hunan-Suxian/56/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330710	PB2	China	2011-Apr-11	B/Hunan-Suxian/56/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330711	PB1	China	2011-Apr-11	B/Hunan-Suxian/56/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330712	NA	China	2011-Apr-11	B/Hunan-Suxian/56/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330713	HA	China	2011-Apr-11	B/Hunan-Suxian/56/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330707	NS	China	2011-Apr-11	B/Hunan-Suxian/56/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330708	MP	China	2011-Apr-11	B/Hunan-Suxian/56/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330698	NP	China	2011-Apr-18	B/Shanghai-Jingan/1392/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330701	PA	China	2011-Apr-18	B/Shanghai-Jingan/1392/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330702	PB2	China	2011-Apr-18	B/Shanghai-Jingan/1392/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330703	PB1	China	2011-Apr-18	B/Shanghai-Jingan/1392/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330704	NA	China	2011-Apr-18	B/Shanghai-Jingan/1392/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330705	HA	China	2011-Apr-18	B/Shanghai-Jingan/1392/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330699	NS	China	2011-Apr-18	B/Shanghai-Jingan/1392/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330700	MP	China	2011-Apr-18	B/Shanghai-Jingan/1392/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330650	NP	China	2011-Apr-03	B/Sichuan-Yucheng/1212/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330653	PA	China	2011-Apr-03	B/Sichuan-Yucheng/1212/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
EPI330654	PB2	China	2011-Apr-03	B/Sichuan-Yucheng/1212/2011	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center	Lan,Yu;Wang,Dayan;Li,Xiyan;Huang,Weijuan;Zhao,Xiang;Chen,Yaoyao;Yang,Lei;Shu,Yuelong
